OID_,FID_BEC_PEM_Columbia,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Columbia,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
1,1,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,3,cool,IDFdm2cool,27,437,0.000000000000000,1931,Person,1931-437,18853.400000000001455,linens, ,20070517130647,19310720,digitised,JA70003000,0.000000000000000,1761073.000000000000000,188534523.252799987792969,153882.942000000010012,4421.439984785273737,121842.905500305671012,12.184290550030568
2,1,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,3,cool,IDFdm2cool,58,207,0.000000000000000,1945,Lightning,1945-207,24.500000000000000,linens, ,20070517130606,19450803,digitised,JA70003000,0.000000000000000,1765506.000000000000000,245650.880700000008801,2122.079600000000028,532.374427666148335,1526.154702016850706,0.152615470201685
3,1,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,3,cool,IDFdm2cool,113,N20200,2014081301.000000000000000,2014,Lightning,2014-N20200,1966.900000000000091,OZIX,20140813,20140815110229,20140727,GPS-TRACK,JA70003000,0.000000000000000,1776525.000000000000000,19669547.518800001591444,27381.824199999999109,6268.692490232023374,87901.755073484062450,8.790175507348406
4,1,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,3,cool,IDFdm2cool,119,N21148,2018071501.000000000000000,2018,Person,2018-N21148,8.100000000000000,2018 ROLLOVER,20180715,20180716162939,20180713,Non-corrected ground GPS,JA70003000,0.000000000000000,1777993.000000000000000,81056.721699999994598,1725.577999999999975,834.841864814957262,6504.423803415417751,0.650442380341542
5,2,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,5,cool,IDFdm2cool,27,437,0.000000000000000,1931,Person,1931-437,18853.400000000001455,linens, ,20070517130647,19310720,digitised,JA70003000,0.000000000000000,1761073.000000000000000,188534523.252799987792969,153882.942000000010012,44390.186889866643469,1336730.096630942309275,133.673009663094234
6,2,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,5,cool,IDFdm2cool,29,172,0.000000000000000,1931,Person,1931-172,91.900000000000006,linens, ,20070517130600,19310429,digitised,JA70003000,0.000000000000000,1760894.000000000000000,919139.072299999999814,4811.823300000000017,4680.853830017586915,81679.040242625749670,8.167904024262576
7,2,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,5,cool,IDFdm2cool,37,328,0.000000000000000,1932,Lightning,1932-328,1.400000000000000,linens, ,20070517130600,19320821,digitised,JA70003000,0.000000000000000,1761575.000000000000000,14876.102800000000570,442.305400000000020,371.358903433728528,8259.838961728291906,0.825983896172829
8,2,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,5,cool,IDFdm2cool,58,207,0.000000000000000,1945,Lightning,1945-207,24.500000000000000,linens, ,20070517130606,19450803,digitised,JA70003000,0.000000000000000,1765506.000000000000000,245650.880700000008801,2122.079600000000028,505.760999924141004,10514.156947150533597,1.051415694715053
9,2,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,5,cool,IDFdm2cool,99,N20756,2008092301.000000000000000,2008,Lightning,2008-N20756,16.899999999999999,OZIX,20080923143631,20080923083719,20080817,GPS-TRACK,JA70003000,0.000000000000000,1774490.000000000000000,163847.377500000002328,2420.283699999999953,478.790063651466482,4378.230019795098997,0.437823001979510
10,2,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,5,cool,IDFdm2cool,113,N20200,2014081301.000000000000000,2014,Lightning,2014-N20200,1966.900000000000091,OZIX,20140813,20140815110229,20140727,GPS-TRACK,JA70003000,0.000000000000000,1776525.000000000000000,19669547.518800001591444,27381.824199999999109,8268.555164550045447,145042.342050467763329,14.504234205046776
