OID_,FID_BEC_PEM_Elk,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Elk,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
1,1,5,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1767500.000000000000000,10500.000000000000000,1767500.000000000000000,10500.000000000000000,5117491.000000000000000,2,cool,ESSFdkpcool,64,699,0.000000000000000,1929,Lightning,1929-699,13068.700000000000728,linens, ,20070517130623,19290804,assumed_shape,JA70003000,0.000000000000000,1760169.000000000000000,130687686.042300000786781,60253.089800000001560,3132.505417785520422,274099.230176509765442,27.409923017650978
2,1,5,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1767500.000000000000000,10500.000000000000000,1767500.000000000000000,10500.000000000000000,5117491.000000000000000,2,cool,ESSFdkpcool,204,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,2818.662387810507880,209814.487621525273426,20.981448762152528
3,2,5,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1767500.000000000000000,10500.000000000000000,1767500.000000000000000,10500.000000000000000,5117491.000000000000000,6,warm,ESSFdkpwarm,204,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,58.063947717251963,100.927202071972175,0.010092720207197
4,3,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,2,cool,ESSFdkwcool,36,124,0.000000000000000,1921,Person,1921-124,215.699999999999989,linens, ,20070517130622,19210829,digitised,JA70003000,0.000000000000000,1756655.000000000000000,2157767.126499999780208,7345.608699999999772,4150.607271855404178,134033.113556464464637,13.403311355646448
5,3,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,2,cool,ESSFdkwcool,64,699,0.000000000000000,1929,Lightning,1929-699,13068.700000000000728,linens, ,20070517130623,19290804,assumed_shape,JA70003000,0.000000000000000,1760169.000000000000000,130687686.042300000786781,60253.089800000001560,16054.500496862639920,1029349.887932078680024,102.934988793207879
6,3,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,2,cool,ESSFdkwcool,104,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,2502.576833880249524,139414.276149855548283,13.941427614985555
7,3,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,2,cool,ESSFdkwcool,114,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,22506.501889485920401,1168811.278464527567849,116.881127846452756
8,3,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,2,cool,ESSFdkwcool,195,N10748,0.000000000000000,2003,Lightning,2003-N10748,1178.599999999999909,LANDSAT5, ,20070517150824,20030820,digitized,JA70003000,0.000000000000000,1773459.000000000000000,11786780.354499999433756,24036.084699999999430,41429.806970906691276,1453982.353915740735829,145.398235391574076
9,4,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,5,cool,ESSFdkwcool,114,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,249.971218902400580,2499.125812359393422,0.249912581235939
10,4,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,5,cool,ESSFdkwcool,195,N10748,0.000000000000000,2003,Lightning,2003-N10748,1178.599999999999909,LANDSAT5, ,20070517150824,20030820,digitized,JA70003000,0.000000000000000,1773459.000000000000000,11786780.354499999433756,24036.084699999999430,4598.099912864394355,117013.770332825457444,11.701377033282546
