OID_,FID_BEC_PEM_Kootenay_North,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Kootenay_North,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
1,1,47,435.000000000000000,ESSF,wm,1, ,NDT2,ESSFwm1,ESSFwm 1,Engelmann Spruce -- Subalpine Fir,Wet Mild,Fernie, ,Ecosystems with infrequent stand-initiating events,67039414.086099997162819,158824.372000000003027,67039414.000000000000000,158824.000000000000000,5120743.000000000000000,2,cool,ESSFwm1cool,78,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,14171.212248729529165,1845096.926972220418975,184.509692697222050
2,2,47,435.000000000000000,ESSF,wm,1, ,NDT2,ESSFwm1,ESSFwm 1,Engelmann Spruce -- Subalpine Fir,Wet Mild,Fernie, ,Ecosystems with infrequent stand-initiating events,67039414.086099997162819,158824.372000000003027,67039414.000000000000000,158824.000000000000000,5120743.000000000000000,5,cool,ESSFwm1cool,78,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,255.884945696632940,1323.613875785254095,0.132361387578525
3,3,47,435.000000000000000,ESSF,wm,1, ,NDT2,ESSFwm1,ESSFwm 1,Engelmann Spruce -- Subalpine Fir,Wet Mild,Fernie, ,Ecosystems with infrequent stand-initiating events,67039414.086099997162819,158824.372000000003027,67039414.000000000000000,158824.000000000000000,5120743.000000000000000,6,warm,ESSFwm1warm,78,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,9814.207816949918197,202877.808301650133217,20.287780830165016
4,11,82,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,10407607.840600000694394,49630.507599999997183,10407608.000000000000000,49631.000000000000000,5122084.000000000000000,2,cool,IMAuncool,35,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,23525.923398615123006,1459683.463506731670350,145.968346350673187
5,11,82,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,10407607.840600000694394,49630.507599999997183,10407608.000000000000000,49631.000000000000000,5122084.000000000000000,2,cool,IMAuncool,78,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,662.081528357870411,11547.384656444251959,1.154738465644425
6,12,82,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,10407607.840600000694394,49630.507599999997183,10407608.000000000000000,49631.000000000000000,5122084.000000000000000,5,cool,IMAuncool,35,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,736.963445092983875,5985.314523693745286,0.598531452369375
7,13,82,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,10407607.840600000694394,49630.507599999997183,10407608.000000000000000,49631.000000000000000,5122084.000000000000000,6,warm,IMAunwarm,35,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,10836.092852474044776,308103.995712970790919,30.810399571297079
8,14,83,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7077329.323599999770522,54579.825199999999313,7077329.000000000000000,54580.000000000000000,5117482.000000000000000,2,cool,ESSFdkpcool,13,411,0.000000000000000,1929,Lightning,1929-411,7952.399999999999636,linens, ,20070517130649,19290721,assumed_shape,JA70003000,0.000000000000000,1760057.000000000000000,79524448.701600000262260,52364.817000000002736,15992.429370938500142,897360.821086894837208,89.736082108689487
9,14,83,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7077329.323599999770522,54579.825199999999313,7077329.000000000000000,54580.000000000000000,5117482.000000000000000,2,cool,ESSFdkpcool,35,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,9042.014443302001382,755261.078524123644456,75.526107852412366
10,15,83,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7077329.323599999770522,54579.825199999999313,7077329.000000000000000,54580.000000000000000,5117482.000000000000000,5,cool,ESSFdkpcool,13,411,0.000000000000000,1929,Lightning,1929-411,7952.399999999999636,linens, ,20070517130649,19290721,assumed_shape,JA70003000,0.000000000000000,1760057.000000000000000,79524448.701600000262260,52364.817000000002736,200.031586301264014,1250.388849941905164,0.125038884994191
