OID_,FID_BEC_PEM_Kootenay_South,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Kootenay_South,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
1,1,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,1,cool,ICHdmcool,2,347,0.000000000000000,1940,Lightning,1940-347,8586.000000000000000,linens, ,20070517130648,19400716,digitised,JA70003000,0.000000000000000,1764556.000000000000000,85860805.048899993300438,54690.075499999999010,45241.817101599728630,15869169.533796342089772,1586.916953379634379
2,1,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,1,cool,ICHdmcool,15,69,0.000000000000000,1919,Lightning,1919-69,4190.500000000000000,linens, ,20070517130649,19190713,digitised,JA70003000,0.000000000000000,1756256.000000000000000,41905087.087300002574921,44194.588700000000244,11451.260161801121285,1808620.194497757358477,180.862019449775744
3,1,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,1,cool,ICHdmcool,241,353,0.000000000000000,1932,Person,1932-353,1135.900000000000091,linens, ,20070517130602,19320908,digitised,JA70003000,0.000000000000000,1761597.000000000000000,11359112.720100000500679,16534.514500000001135,2624.440085518390333,37637.777046860479459,3.763777704686048
4,1,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,1,cool,ICHdmcool,538,N70578,0.000000000000000,2003,Lightning,2003-N70578,550.899999999999977,LANDSAT5, ,20070517150824,20030809,digitized,JA70003000,0.000000000000000,1773500.000000000000000,5509591.025799999944866,17773.577499999999418,3767.235624715223821,212273.480597626970848,21.227348059762697
5,1,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,1,cool,ICHdmcool,589,N70252,2012081203.000000000000000,2012,Lightning,2012-N70252,51.200000000000003,OZIX,20120812,20120813,20120808,GPS-TRACK,JA70003000,0.000000000000000,1775896.000000000000000,512005.080699999991339,7344.337999999999738,2944.358240112632302,184911.611042508448008,18.491161104250846
6,2,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,5,cool,ICHdmcool,1,86a,0.000000000000000,1921,Lightning,1921-86a,1345.200000000000045,linens, ,20070517130621,19210804,digitised,JA70003000,0.000000000000000,1756807.000000000000000,13452229.450600000098348,14793.403800000000047,2585.890601390317443,384194.956216335645877,38.419495621633565
7,2,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,5,cool,ICHdmcool,2,347,0.000000000000000,1940,Lightning,1940-347,8586.000000000000000,linens, ,20070517130648,19400716,digitised,JA70003000,0.000000000000000,1764556.000000000000000,85860805.048899993300438,54690.075499999999010,1181.367918605518526,70429.851014703002875,7.042985101470300
8,3,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,6,warm,ICHdmwarm,2,347,0.000000000000000,1940,Lightning,1940-347,8586.000000000000000,linens, ,20070517130648,19400716,digitised,JA70003000,0.000000000000000,1764556.000000000000000,85860805.048899993300438,54690.075499999999010,3288.637659772016377,10289.852266907808371,1.028985226690781
9,3,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,6,warm,ICHdmwarm,15,69,0.000000000000000,1919,Lightning,1919-69,4190.500000000000000,linens, ,20070517130649,19190713,digitised,JA70003000,0.000000000000000,1756256.000000000000000,41905087.087300002574921,44194.588700000000244,299.890983070464472,1873.634925769620168,0.187363492576962
10,3,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,6,warm,ICHdmwarm,241,353,0.000000000000000,1932,Person,1932-353,1135.900000000000091,linens, ,20070517130602,19320908,digitised,JA70003000,0.000000000000000,1761597.000000000000000,11359112.720100000500679,16534.514500000001135,1436.945132065887037,13635.802925915657397,1.363580292591566
