OID_,FID_BEC_PEM_Purcell,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Purcell,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
1,1,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,1,cool,ICHmw2cool,7,37,0.000000000000000,1922,Person,1922-37,87.400000000000006,linens, ,20070517130621,19220531,digitised,JA70003000,0.000000000000000,1757252.000000000000000,874575.473400000017136,3605.060399999999845,1072.602146983893135,48565.355533887894126,4.856535553388790
2,1,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,1,cool,ICHmw2cool,29,560,0.000000000000000,1934,Lightning,1934-560,12.100000000000000,linens, ,20070517130602,20070516,digitised,JA70003000,0.000000000000000,1762523.000000000000000,121727.750100000004750,1314.798000000000002,205.627903456572085,1144.471659413726229,0.114447165941373
3,1,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,1,cool,ICHmw2cool,42,362,0.000000000000000,1946,Lightning,1946-362,61.299999999999997,linens, ,20070517130605,19460821,digitised,JA70003000,0.000000000000000,1765840.000000000000000,613677.003600000054576,2954.234199999999873,3341.817444585958128,600882.065036936313845,60.088206503693634
4,1,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,1,cool,ICHmw2cool,89,N10279,2015081001.000000000000000,2015,Lightning,2015-N10279,80.500000000000000,2015 ROLLOVER,20150810,20150811113510,20150704,OZIX,JA70003000,0.000000000000000,1776856.000000000000000,805498.135699999984354,4269.456299999999828,3474.208262093716712,202887.989639364241157,20.288798963936426
5,3,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,6,warm,ICHmw2warm,7,37,0.000000000000000,1922,Person,1922-37,87.400000000000006,linens, ,20070517130621,19220531,digitised,JA70003000,0.000000000000000,1757252.000000000000000,874575.473400000017136,3605.060399999999845,1023.173329217818605,12010.625369520295862,1.201062536952030
6,3,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,6,warm,ICHmw2warm,29,560,0.000000000000000,1934,Lightning,1934-560,12.100000000000000,linens, ,20070517130602,20070516,digitised,JA70003000,0.000000000000000,1762523.000000000000000,121727.750100000004750,1314.798000000000002,303.786395198128332,3048.974018948380490,0.304897401894838
7,3,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,6,warm,ICHmw2warm,42,362,0.000000000000000,1946,Lightning,1946-362,61.299999999999997,linens, ,20070517130605,19460821,digitised,JA70003000,0.000000000000000,1765840.000000000000000,613677.003600000054576,2954.234199999999873,554.185945047574478,12316.411207094999554,1.231641120709500
8,3,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,6,warm,ICHmw2warm,89,N10279,2015081001.000000000000000,2015,Lightning,2015-N10279,80.500000000000000,2015 ROLLOVER,20150810,20150811113510,20150704,OZIX,JA70003000,0.000000000000000,1776856.000000000000000,805498.135699999984354,4269.456299999999828,1375.231704999990143,32571.554203429630434,3.257155420342963
9,8,140,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,57019247.305299997329712,266979.954199999978300,57019247.000000000000000,266980.000000000000000,5120911.000000000000000,1,cool,ESSFwmpcool,60,N00160,0.000000000000000,1961,Lightning,1961-N00160,137.199999999999989,mylars, ,20070517130634,19610705,digitised,JA70003000,0.000000000000000,1768374.000000000000000,1372730.900799999944866,4599.793899999999667,2269.956823807100591,188578.275399794569239,18.857827539979457
10,18,156,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7000705.362399999983609,43717.284200000001874,7000705.000000000000000,43717.000000000000000,5117469.000000000000000,1,cool,ESSFdkpcool,34,280,0.000000000000000,1938,Lightning,1938-280,4435.500000000000000,linens, ,20070517130602,19380807,digitised,JA70003000,0.000000000000000,1763664.000000000000000,44355290.767399996519089,56960.750699999996868,4019.770503438046944,228827.445010696013924,22.882744501069602
