OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_Historical_Fire_Perimeters_ROI,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_1,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
1,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,392,437,0.000000000000000,1931,Person,1931-437,18853.400000000001455,linens, ,20070517130647,19310720,digitised,JA70003000,0.000000000000000,1761073.000000000000000,188534523.252799987792969,153882.942000000010012,38342.845766238293436,10002990.122092276811600,1000.299012209227726
2,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,421,172,0.000000000000000,1931,Person,1931-172,91.900000000000006,linens, ,20070517130600,19310429,digitised,JA70003000,0.000000000000000,1760894.000000000000000,919139.072299999999814,4811.823300000000017,4663.655529998064594,880909.384127119439654,88.090938412711949
3,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,492,328,0.000000000000000,1932,Lightning,1932-328,1.400000000000000,linens, ,20070517130600,19320821,digitised,JA70003000,0.000000000000000,1761575.000000000000000,14876.102800000000570,442.305400000000020,442.185594130961078,14867.074415043329282,1.486707441504333
4,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,735,207,0.000000000000000,1945,Lightning,1945-207,24.500000000000000,linens, ,20070517130606,19450803,digitised,JA70003000,0.000000000000000,1765506.000000000000000,245650.880700000008801,2122.079600000000028,1738.372438119019762,171581.068865287263179,17.158106886528728
5,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,819,N00044,0.000000000000000,1957,Person,1957-N00044,35.799999999999997,mylars, ,20070517130637,19570504,digitised,JA70003000,0.000000000000000,1767263.000000000000000,358465.692800000018906,2631.343100000000049,178.991744079074380,952.571133174513648,0.095257113317451
6,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,993,N20039,0.000000000000000,1985,Person,1985-N20039,15538.399999999999636,LFDB, ,20070517130643,19850704,digitised,JA70003000,0.000000000000000,1771693.000000000000000,155384940.472000002861023,84410.800000000002910,627.673036044674745,5146.446378217745405,0.514644637821775
7,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,1197,N20756,2008092301.000000000000000,2008,Lightning,2008-N20756,16.899999999999999,OZIX,20080923143631,20080923083719,20080817,GPS-TRACK,JA70003000,0.000000000000000,1774490.000000000000000,163847.377500000002328,2420.283699999999953,1114.594034798110670,22706.170437642376783,2.270617043764238
8,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,1294,N20200,2014081301.000000000000000,2014,Lightning,2014-N20200,1966.900000000000091,OZIX,20140813,20140815110229,20140727,GPS-TRACK,JA70003000,0.000000000000000,1776525.000000000000000,19669547.518800001591444,27381.824199999999109,10049.675952142388269,2609206.965597053989768,260.920696559705391
9,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,1384,N21148,2018071501.000000000000000,2018,Person,2018-N21148,8.100000000000000,2018 ROLLOVER,20180715,20180716162939,20180713,Non-corrected ground GPS,JA70003000,0.000000000000000,1777993.000000000000000,81056.721699999994598,1725.577999999999975,1725.055986262460920,81008.663968467400991,8.100866396846740
10,418,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,110344810.161200001835823,385464.121800000022631,110344810.000000000000000,385464.000000000000000,5125219.000000000000000,1294,N20200,2014081301.000000000000000,2014,Lightning,2014-N20200,1966.900000000000091,OZIX,20140813,20140815110229,20140727,GPS-TRACK,JA70003000,0.000000000000000,1776525.000000000000000,19669547.518800001591444,27381.824199999999109,16654.555797950913984,5659068.982056778855622,565.906898205677862
