OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_Historical_Fire_Perimeters_ROI,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_1,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
1,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,0,86a,0.000000000000000,1921,Lightning,1921-86a,1345.200000000000045,linens, ,20070517130621,19210804,digitised,JA70003000,0.000000000000000,1756807.000000000000000,13452229.450600000098348,14793.403800000000047,2585.890340879098858,384194.896866609284189,38.419489686660931
2,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,1,347,0.000000000000000,1940,Lightning,1940-347,8586.000000000000000,linens, ,20070517130648,19400716,digitised,JA70003000,0.000000000000000,1764556.000000000000000,85860805.048899993300438,54690.075499999999010,45471.342727988943807,15949889.313110046088696,1594.988931311004762
3,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,27,69,0.000000000000000,1919,Lightning,1919-69,4190.500000000000000,linens, ,20070517130649,19190713,digitised,JA70003000,0.000000000000000,1756256.000000000000000,41905087.087300002574921,44194.588700000000244,11151.368803959010620,1810493.676101626362652,181.049367610162648
4,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,497,353,0.000000000000000,1932,Person,1932-353,1135.900000000000091,linens, ,20070517130602,19320908,digitised,JA70003000,0.000000000000000,1761597.000000000000000,11359112.720100000500679,16534.514500000001135,2829.341740057786410,51273.511865258973558,5.127351186525898
5,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,1135,N70578,0.000000000000000,2003,Lightning,2003-N70578,550.899999999999977,LANDSAT5, ,20070517150824,20030809,digitized,JA70003000,0.000000000000000,1773500.000000000000000,5509591.025799999944866,17773.577499999999418,3767.235412405048464,212273.521708494808991,21.227352170849482
6,0,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,90487338.990999996662140,172311.588900000002468,90487339.000000000000000,172312.000000000000000,5121441.000000000000000,1253,N70252,2012081203.000000000000000,2012,Lightning,2012-N70252,51.200000000000003,OZIX,20120812,20120813,20120808,GPS-TRACK,JA70003000,0.000000000000000,1775896.000000000000000,512005.080699999991339,7344.337999999999738,2664.454398402531297,191104.305466286343290,19.110430546628635
7,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,45,95,0.000000000000000,1919,Person,1919-95,1022.500000000000000,linens, ,20070517130621,19190812,digitised,JA70003000,0.000000000000000,1756297.000000000000000,10225807.860400000587106,17011.809600000000501,4121.695788549918689,285306.632814813754521,28.530663281481377
8,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,53,33,0.000000000000000,1920,Lightning,1920-33,966.899999999999977,linens, ,20070517130621,19200719,digitised,JA70003000,0.000000000000000,1756475.000000000000000,9669219.711500000208616,16829.543499999999767,1336.432370257100956,21604.583758066466544,2.160458375806647
9,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,357,772,0.000000000000000,1929,Person,1929-772,4334.100000000000364,linens, ,20070517130648,19290818,assumed_shape,JA70003000,0.000000000000000,1760198.000000000000000,43341954.032399997115135,33834.493600000001607,40151.257549838417617,5596272.518593156710267,559.627251859315720
10,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,531,372,0.000000000000000,1936,Person,1936-372,554.000000000000000,linens, ,20070517130602,19360730,digitised,JA70003000,0.000000000000000,1763050.000000000000000,5540678.294499999843538,14954.749100000000908,879.607311322916644,33006.293331460576155,3.300629333146058
11,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,562,571,0.000000000000000,1934,Lightning,1934-571,542.299999999999955,linens, ,20070517130602,19340830,digitised,JA70003000,0.000000000000000,1762525.000000000000000,5423666.304499999620020,12707.967099999999846,2026.816388082942012,181778.363437832420459,18.177836343783245
12,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,652,130,0.000000000000000,1938,Lightning,1938-130,310.500000000000000,linens, ,20070517130602,19380715,digitised,JA70003000,0.000000000000000,1763451.000000000000000,3105670.626900000032037,8597.392700000000332,4803.181483957784621,436263.217240363243036,43.626321724036323
13,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,1032,N10088,0.000000000000000,1986,Person,1986-N10088,11.699999999999999,mylars, ,20070517130643,19861022,digitised,JA70003000,0.000000000000000,1771888.000000000000000,117507.922999999995227,1541.116099999999960,1226.089480641778209,19639.259597991753253,1.963925959799175
14,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,1136,N70820,0.000000000000000,2003,Lightning,2003-N70820,2864.900000000000091,LANDSAT5, ,20070517150824,20030827,Area 1 of 2,JA70003000,0.000000000000000,1773504.000000000000000,28649645.969900000840425,46360.730100000000675,6312.286263467794925,760099.169475277536549,76.009916947527756
15,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,1256,N10278,2015081401.000000000000000,2015,Lightning,2015-N10278,86.900000000000006,2015 ROLLOVER,20150814,20150814130519,20150704,OZIX,JA70003000,0.000000000000000,1776855.000000000000000,869932.985299999942072,4643.863199999999779,5514.987327317997369,628158.788409443572164,62.815878840944357
16,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,1258,N10307,2015071801.000000000000000,2015,Lightning,2015-N10307,211.199999999999989,2015 ROLLOVER,20150718,20150802132905,20150707,OZIX,JA70003000,0.000000000000000,1776857.000000000000000,2112386.900899999774992,7116.760199999999713,5611.681169545133343,623310.513169230194762,62.331051316923023
17,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,1271,N70616,2015092101.000000000000000,2015,Lightning,2015-N70616,165.400000000000006,2015 ROLLOVER,20150922083634,20150922083939,20150813,Ozi,JA70003000,0.000000000000000,1776945.000000000000000,1654830.087400000076741,9542.069700000000012,5416.210674943426056,501985.997204751940444,50.198599720475194
18,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,1357,N71602,2018090501.000000000000000,2018,Lightning,2018-N71602,1557.799999999999955,2018 ROLLOVER,20180905,20180905172759,20180727,Non-corrected airborne GPS,JA70003000,0.000000000000000,1778100.000000000000000,15578643.046399999409914,42395.419300000001385,9593.201969975110842,928791.549953216337599,92.879154995321642
19,1,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,120571135.901800006628036,701853.643700000015087,120571136.000000000000000,701854.000000000000000,5121010.000000000000000,1364,N11886,2018083102.000000000000000,2018,Lightning,2018-N11886,9113.299999999999272,2018 ROLLOVER,20180831,20180831191709,20180728,Non-corrected ground GPS,JA70003000,0.000000000000000,1777973.000000000000000,91133862.778400003910065,104712.087299999999232,91784.757362094853306,10399220.514638928696513,1039.922051463893013
20,2,435.000000000000000,ESSF,wm,4, ,NDT2,ESSFwm4,ESSFwm 4,Engelmann Spruce -- Subalpine Fir,Wet Mild,Moyie, ,Ecosystems with infrequent stand-initiating events,872817624.212499976158142,1371638.289799999911338,872817624.000000000000000,1371638.000000000000000,5120791.000000000000000,71,52,0.000000000000000,1920,Lightning,1920-52,27.399999999999999,linens, ,20070517130621,19200808,digitised,JA70003000,0.000000000000000,1756545.000000000000000,274550.433799999998882,1928.231099999999969,1927.485235173740875,274356.089010876137763,27.435608901087615
21,2,435.000000000000000,ESSF,wm,4, ,NDT2,ESSFwm4,ESSFwm 4,Engelmann Spruce -- Subalpine Fir,Wet Mild,Moyie, ,Ecosystems with infrequent stand-initiating events,872817624.212499976158142,1371638.289799999911338,872817624.000000000000000,1371638.000000000000000,5120791.000000000000000,82,86,0.000000000000000,1920,Lightning,1920-86,2596.400000000000091,linens, ,20070517130625,19200801,assumed_shape,JA70003000,0.000000000000000,1756618.000000000000000,25964632.281800001859665,20884.964599999999336,6444.293066469874248,751392.080897579318844,75.139208089757929
22,2,435.000000000000000,ESSF,wm,4, ,NDT2,ESSFwm4,ESSFwm 4,Engelmann Spruce -- Subalpine Fir,Wet Mild,Moyie, ,Ecosystems with infrequent stand-initiating events,872817624.212499976158142,1371638.289799999911338,872817624.000000000000000,1371638.000000000000000,5120791.000000000000000,112,180,0.000000000000000,1922,Lightning,1922-180,1411.099999999999909,linens, ,20070517130621,19220827,digitised,JA70003000,0.000000000000000,1757028.000000000000000,14111287.746400000527501,20034.347099999999045,20389.753630147624790,4098582.042491987347603,409.858204249198764
23,2,435.000000000000000,ESSF,wm,4, ,NDT2,ESSFwm4,ESSFwm 4,Engelmann Spruce -- Subalpine Fir,Wet Mild,Moyie, ,Ecosystems with infrequent stand-initiating events,872817624.212499976158142,1371638.289799999911338,872817624.000000000000000,1371638.000000000000000,5120791.000000000000000,185,155,0.000000000000000,1924,Lightning,1924-155,1241.099999999999909,linens, ,20070517130621,19240711,digitised,JA70003000,0.000000000000000,1757978.000000000000000,12411555.170299999415874,14548.557600000000093,6284.695326871275029,598199.370018241112120,59.819937001824115
24,2,435.000000000000000,ESSF,wm,4, ,NDT2,ESSFwm4,ESSFwm 4,Engelmann Spruce -- Subalpine Fir,Wet Mild,Moyie, ,Ecosystems with infrequent stand-initiating events,872817624.212499976158142,1371638.289799999911338,872817624.000000000000000,1371638.000000000000000,5120791.000000000000000,210,103,0.000000000000000,1923,Lightning,1923-103,259.800000000000011,linens, ,20070517130621,19230904,digitised,JA70003000,0.000000000000000,1757587.000000000000000,2598044.484100000001490,9324.942199999999502,1143.908710567550770,39038.252250638848636,3.903825225063885
