OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_Historical_Fire_Perimeters_ROI,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_1,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
1,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,110,37,0.000000000000000,1922,Person,1922-37,87.400000000000006,linens, ,20070517130621,19220531,digitised,JA70003000,0.000000000000000,1757252.000000000000000,874575.473400000017136,3605.060399999999845,1330.475852145812269,60575.990880075769383,6.057599088007577
2,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,561,560,0.000000000000000,1934,Lightning,1934-560,12.100000000000000,linens, ,20070517130602,20070516,digitised,JA70003000,0.000000000000000,1762523.000000000000000,121727.750100000004750,1314.798000000000002,355.008630024871422,4193.435881191974659,0.419343588119197
3,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,783,362,0.000000000000000,1946,Lightning,1946-362,61.299999999999997,linens, ,20070517130605,19460821,digitised,JA70003000,0.000000000000000,1765840.000000000000000,613677.003600000054576,2954.234199999999873,2953.257126760891424,613198.462402509874664,61.319846240250989
4,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,1257,N10279,2015081001.000000000000000,2015,Lightning,2015-N10279,80.500000000000000,2015 ROLLOVER,20150810,20150811113510,20150704,OZIX,JA70003000,0.000000000000000,1776856.000000000000000,805498.135699999984354,4269.456299999999828,2674.690355165721485,235459.538659269921482,23.545953865926993
5,140,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,57019247.305299997329712,266979.954199999978300,57019247.000000000000000,266980.000000000000000,5120911.000000000000000,891,N00160,0.000000000000000,1961,Lightning,1961-N00160,137.199999999999989,mylars, ,20070517130634,19610705,digitised,JA70003000,0.000000000000000,1768374.000000000000000,1372730.900799999944866,4599.793899999999667,2269.956704806923881,188578.290296616236446,18.857829029661623
6,156,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7000705.362399999983609,43717.284200000001874,7000705.000000000000000,43717.000000000000000,5117469.000000000000000,627,280,0.000000000000000,1938,Lightning,1938-280,4435.500000000000000,linens, ,20070517130602,19380807,digitised,JA70003000,0.000000000000000,1763664.000000000000000,44355290.767399996519089,56960.750699999996868,3642.629663153180900,229803.634107782359933,22.980363410778239
7,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,561,560,0.000000000000000,1934,Lightning,1934-560,12.100000000000000,linens, ,20070517130602,20070516,digitised,JA70003000,0.000000000000000,1762523.000000000000000,121727.750100000004750,1314.798000000000002,731.155365497929324,18651.188338501950057,1.865118833850195
8,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,584,433,0.000000000000000,1934,Lightning,1934-433,1292.200000000000045,linens, ,20070517130602,19340820,digitised,JA70003000,0.000000000000000,1762452.000000000000000,12922477.912200000137091,24104.304000000000087,13512.066815276002671,1954077.981434763176367,195.407798143476327
9,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,627,280,0.000000000000000,1938,Lightning,1938-280,4435.500000000000000,linens, ,20070517130602,19380807,digitised,JA70003000,0.000000000000000,1763664.000000000000000,44355290.767399996519089,56960.750699999996868,20675.465205283526302,1810429.353556744288653,181.042935355674445
10,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,635,570,0.000000000000000,1936,Lightning,1936-570,759.899999999999977,linens, ,20070517130602,19360809,digitised,JA70003000,0.000000000000000,1763125.000000000000000,7599242.663999999873340,10768.344499999999243,9651.464114044889357,1507997.216610529227182,150.799721661052928
