OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
1,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,158839.918034348840592,63943586.725210398435593,6394.358672521039807
2,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,110344810.161200001835823,385464.121800000022631,110344810.000000000000000,385464.000000000000000,5125219.000000000000000,17095.284388277457765,6776524.364626148715615,677.652436462614901
3,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,173237045.635500013828278,135143.598399999988033,173237046.000000000000000,135144.000000000000000,5121538.000000000000000,140813.593597726430744,44925311.744158521294594,4492.531174415852547
4,435.000000000000000,ESSF,mmw, , ,NDT2,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland, , ,Ecosystems with infrequent stand-initiating events,35723577.754000000655651,255337.839999999996508,35723578.000000000000000,255338.000000000000000,5118265.000000000000000,2368.508970330599368,16.062613114582657,0.001606261311458
5,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,117500.000000000000000,2300.000000000000000,117500.000000000000000,2300.000000000000000,5122563.000000000000000,550.456540067459969,5193.507682298256441,0.519350768229826
6,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,142500.000000000000000,2400.000000000000000,142500.000000000000000,2400.000000000000000,5122570.000000000000000,350.204298818370432,1868.429907828978230,0.186842990782898
7,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,210000.000000000000000,2200.000000000000000,210000.000000000000000,2200.000000000000000,5122589.000000000000000,531.945742845768450,8570.896020612015491,0.857089602061202
8,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,550000.000000000000000,6000.000000000000000,550000.000000000000000,6000.000000000000000,5122595.000000000000000,4134.965822706119070,120521.839285292255227,12.052183928529226
9,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,185000.000000000000000,2700.000000000000000,185000.000000000000000,2700.000000000000000,5122605.000000000000000,952.340869308815059,12771.469923154709250,1.277146992315471
10,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,285000.000000000000000,4200.000000000000000,285000.000000000000000,4200.000000000000000,5122609.000000000000000,165.058358577983370,1445.348654248475214,0.144534865424848
11,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,33671962.945799998939037,260118.921499999996740,33671963.000000000000000,260119.000000000000000,5117610.000000000000000,77492.310387376943254,2028898.627332801464945,202.889862733280154
12,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1622500.000000000000000,9200.000000000000000,1622500.000000000000000,9200.000000000000000,5117791.000000000000000,18861.496281693285709,1059667.238849698565900,105.966723884969866
13,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1727500.000000000000000,14100.000000000000000,1727500.000000000000000,14100.000000000000000,5117789.000000000000000,17540.172379415656906,1383999.457314560888335,138.399945731456086
14,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,200000.000000000000000,2500.000000000000000,200000.000000000000000,2500.000000000000000,5117604.000000000000000,2455.445489999152414,156136.105775365984300,15.613610577536599
15,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,462500.000000000000000,4500.000000000000000,462500.000000000000000,4500.000000000000000,5117788.000000000000000,4434.266768607436461,451979.836115296231583,45.197983611529622
16,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1150000.000000000000000,9800.000000000000000,1150000.000000000000000,9800.000000000000000,5117786.000000000000000,10095.431693100101256,1087490.441178544657305,108.749044117854467
17,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,310000.000000000000000,2900.000000000000000,310000.000000000000000,2900.000000000000000,5122503.000000000000000,107.651700212525895,0.162708548865865,0.000016270854887
18,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,310000.000000000000000,4100.000000000000000,310000.000000000000000,4100.000000000000000,5122493.000000000000000,20.566595552498534,3.003476447702390,0.000300347644770
19,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,340000.000000000000000,3700.000000000000000,340000.000000000000000,3700.000000000000000,5122469.000000000000000,173.026816898506894,0.184525040232136,0.000018452504023
20,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,150000.000000000000000,2900.000000000000000,150000.000000000000000,2900.000000000000000,5122444.000000000000000,360.479337777560147,1760.178209621012684,0.176017820962101
21,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,26063493.651200000196695,58915.792600000000675,26063493.000000000000000,58916.000000000000000,5121531.000000000000000,83018.385838058369700,25174365.366779495030642,2517.436536677949789
22,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,2606250.000000000000000,7552.691200000000208,2606250.000000000000000,7553.000000000000000,5117377.000000000000000,8501.259719945472170,2572500.040311526507139,257.250004031152685
23,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,2336250.010499999858439,8889.087299999999232,2336250.000000000000000,8889.000000000000000,5117379.000000000000000,12362.755627393289615,2092915.577425339026377,209.291557742533911
