OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
1,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1767500.000000000000000,10500.000000000000000,1767500.000000000000000,10500.000000000000000,5117491.000000000000000,11825.111154506637831,598862.705858125817031,59.886270585812582
2,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,182349.444160705868853,12385561.180538278073072,1238.556118053827959
3,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,14735000.000000000000000,88700.000000000000000,14735000.000000000000000,88700.000000000000000,5117487.000000000000000,15282.738868821154028,607383.544111176976003,60.738354411117697
4,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,8131716.584499999880791,74052.109100000001490,8131717.000000000000000,74052.000000000000000,5117471.000000000000000,2916.253107306035417,77681.081230302224867,7.768108123030223
5,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,919780.512800000025891,8446.469999999999345,919781.000000000000000,8446.000000000000000,5120897.000000000000000,1533.325679581282429,36979.247789610606560,3.697924778961061
6,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,40986.280138532718411,1997764.737414060393348,199.776473741406051
7,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,292241.732299999974202,4377.379700000000412,292242.000000000000000,4377.000000000000000,5117451.000000000000000,151.622281388602147,1561.502946013366682,0.156150294601337
8,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3750784.940500000026077,36310.348100000002887,3750785.000000000000000,36310.000000000000000,5120909.000000000000000,5988.179562361856370,236071.198963461851235,23.607119896346187
9,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,28731.352727563338703,4322449.181905197910964,432.244918190519797
10,435.000000000000000,ICH,mk,4, ,NDT3,ICHmk4,ICH mk 4,Interior Cedar -- Hemlock,Moist Cool,Elk, ,Ecosystems with frequent stand-initiating events,2185939.805600000079721,12761.671000000000276,2185940.000000000000000,12762.000000000000000,5121523.000000000000000,16355.633858081353537,1998538.099473105743527,199.853809947310594
11,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3827500.000000000000000,20000.000000000000000,3827500.000000000000000,20000.000000000000000,5117494.000000000000000,22868.924855374596518,1154008.274751657852903,115.400827475165798
