OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
1,435.000000000000000,ESSF,wm,1, ,NDT2,ESSFwm1,ESSFwm 1,Engelmann Spruce -- Subalpine Fir,Wet Mild,Fernie, ,Ecosystems with infrequent stand-initiating events,67039414.086099997162819,158824.372000000003027,67039414.000000000000000,158824.000000000000000,5120743.000000000000000,18369.492771348774113,5173432.074212457053363,517.343207421245779
2,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,570000.000000000000000,7000.000000000000000,570000.000000000000000,7000.000000000000000,5117481.000000000000000,6998.301057842442788,569720.381646938738413,56.972038164693878
3,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1187500.000000000000000,9300.000000000000000,1187500.000000000000000,9300.000000000000000,5122017.000000000000000,4875.655426553908910,98949.577630593703361,9.894957763059370
4,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,27694603.378100000321865,193810.333400000003166,27694603.000000000000000,193810.000000000000000,5121033.000000000000000,36113.009557468438288,4459112.598517253994942,445.911259851725447
5,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1357500.000000000000000,14300.000000000000000,1357500.000000000000000,14300.000000000000000,5122009.000000000000000,1255.007455972800017,26923.894148009127093,2.692389414800913
6,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,825000.000000000000000,8100.000000000000000,825000.000000000000000,8100.000000000000000,5117478.000000000000000,8098.292038356909870,824601.246253325603902,82.460124625332568
7,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,10407607.840600000694394,49630.507599999997183,10407608.000000000000000,49631.000000000000000,5122084.000000000000000,23337.535354504409042,888189.831665674573742,88.818983166567463
8,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7077329.323599999770522,54579.825199999999313,7077329.000000000000000,54580.000000000000000,5117482.000000000000000,50102.830978228950698,4823663.831082593649626,482.366383108259413
9,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,222500.000000000000000,2700.000000000000000,222500.000000000000000,2700.000000000000000,5122085.000000000000000,883.018206642064570,27463.956105652014230,2.746395610565202
10,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1117139.509099999908358,7128.840799999999945,1117140.000000000000000,7129.000000000000000,5122025.000000000000000,3519.125138779287681,78038.097681634928449,7.803809768163493
