OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
1,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,86071.823814560179017,29592557.130928732454777,2959.255713092873521
2,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3640000.000000000000000,25300.000000000000000,3640000.000000000000000,25300.000000000000000,5120875.000000000000000,33945.065728353554732,3154875.380466194357723,315.487538046619477
3,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1063307.435899999924004,9198.093100000000049,1063307.000000000000000,9198.000000000000000,5121970.000000000000000,4706.049806346310106,109997.232125558002735,10.999723212555800
4,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,57019247.305299997329712,266979.954199999978300,57019247.000000000000000,266980.000000000000000,5120911.000000000000000,354396.317353706748690,32406248.371530510485172,3240.624837153051431
5,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1735000.000000000000000,10800.000000000000000,1735000.000000000000000,10800.000000000000000,5120879.000000000000000,17008.819937333915732,1219498.889846075791866,121.949888984607583
6,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,9782735.965800000354648,77545.854800000000978,9782736.000000000000000,77546.000000000000000,5117464.000000000000000,8545.233316223506336,272349.595038572850171,27.234959503857286
7,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,312500.000000000000000,3400.000000000000000,312500.000000000000000,3400.000000000000000,5120880.000000000000000,3398.564929612328342,312259.893732185999397,31.225989373218603
8,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1130000.000000000000000,7300.000000000000000,1130000.000000000000000,7300.000000000000000,5121987.000000000000000,4895.002455801471115,112346.853006699850084,11.234685300669986
9,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7000705.362399999983609,43717.284200000001874,7000705.000000000000000,43717.000000000000000,5117469.000000000000000,42591.134545286593493,3821392.076295826584101,382.139207629582700
10,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,4147500.000000000000000,28100.000000000000000,4147500.000000000000000,28100.000000000000000,5122013.000000000000000,19276.524949003836809,824414.591191162005998,82.441459119116203
