Zone,Region_Name,Aspect,mean_fs_BEC,mean_fs_BEC.aspect,min_fs_BEC,min_fs_BEC.aspect,max_fs_BEC,max_fs_BEC.aspect,Ignition_prob,Ignition_prob_aspect,FRI,FRI.aspect,fire_severity
Columbia,ESSFdk2,warm,100,70,10,5,2000,300,0.0001,0.0001,150,100,High
Columbia,ESSFdk2,cool,100,50,10,1,2000,100,0.0001,0.00005,150,250,High
Columbia,ESSFdkp,warm,100,50,10,1,2000,1000,0.0001,0.0001,400,100,High
Columbia,ESSFdkp,cool,100,30,10,0,2000,250,0.0001,0.00005,400,250,High
Columbia,ESSFdkw,warm,100,50,10,1,2000,1000,0.0001,0.0001,400,100,High
Columbia,ESSFdkw,cool,100,30,10,0,2000,250,0.0001,0.00005,400,250,High
Columbia,ESSFmmw,warm,100,50,10,1,2000,1000,0.0001,0.0001,400,100,High
Columbia,ESSFmmw,cool,100,30,10,0,2000,250,0.0001,0.00005,400,250,High
Columbia,ICHmk5,warm,10,70,10,5,5000,1000,0.0001,0.0001,150,50,Mixed
Columbia,ICHmk5,cool,10,70,10,1,5000,250,0.0001,0.0001,150,70,Mixed
Columbia,ICHmw1,warm,10,70,10,5,5000,1000,0.0001,0.0001,150,50,Mixed
Columbia,ICHmw1,cool,10,70,10,1,5000,250,0.0001,0.0001,150,70,Mixed
Columbia,IDFdk5,warm,10,70,2,3,100,300,0.001,0.001,50,20,Low
Columbia,IDFdk5,cool,10,70,2,1,100,100,0.001,0.001,50,20,Low
Columbia,IDFxk,warm,10,70,2,3,100,300,0.001,0.001,50,20,Low
Columbia,IDFxk,cool,10,70,2,1,100,100,0.001,0.001,50,20,Low
Columbia,IMAun,warm,50,0,10,0,5000,0,0.0001,0,350,0,
Columbia,IMAun,cool,50,0,10,0,5000,0,0.0001,0,350,0,
Columbia,MSdk,warm,20,50,2,2,1000,1000,0.0001,0.001,120,50,Mixed
Columbia,MSdk,cool,20,50,2,1,1000,500,0.0001,0.001,120,50,Mixed
Purcell,ESSFdk1,warm,100,70,10,5,2000,5000,0.0001,0.0001,150,150,High
Purcell,ESSFdk1,cool,100,50,10,1,2000,1000,0.0001,0.00005,150,250,High
Purcell,ESSFdk2,warm,100,70,10,5,2000,5000,0.0001,0.0001,150,150,High
Purcell,ESSFdk2,cool,100,50,10,1,2000,1000,0.0001,0.00005,150,250,High
Purcell,ESSFdkp,warm,100,70,10,1,2000,5000,0.0001,0.0001,400,200,High
Purcell,ESSFdkp,cool,100,50,10,0,2000,1000,0.0001,0.00005,400,400,High
Purcell,ESSFdkw,warm,100,70,10,1,2000,2000,0.0001,0.0001,400,200,High
Purcell,ESSFdkw,cool,100,50,10,0,2000,500,0.0001,0.00005,400,400,High
Purcell,ESSFmm3,warm,100,70,10,1,2000,2000,0.0001,0.0001,400,200,High
Purcell,ESSFmm3,cool,100,50,10,0,2000,500,0.0001,0.00005,400,400,High
