OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area
1,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,3,cool,IDFdm2cool,120995.168831933857291,4079654.145852264016867
2,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,5,cool,IDFdm2cool,218867.778235494100954,4927222.541674475185573
3,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,6,warm,IDFdm2warm,283080.494099151692353,48010941.610297977924347
4,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,7,warm,IDFdm2warm,86674.437436435851851,12418144.561884172260761
5,418,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,110344810.161200001835823,385464.121800000022631,110344810.000000000000000,385464.000000000000000,5125219.000000000000000,3,cool,MSdwcool,27129.684883486694162,6570177.504951202310622
6,418,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,110344810.161200001835823,385464.121800000022631,110344810.000000000000000,385464.000000000000000,5125219.000000000000000,5,cool,MSdwcool,435.340014883370600,2940.172034712363711
7,418,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,110344810.161200001835823,385464.121800000022631,110344810.000000000000000,385464.000000000000000,5125219.000000000000000,6,warm,MSdwwarm,22578.505366649606003,370660.669034432852641
8,492,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,173237045.635500013828278,135143.598399999988033,173237046.000000000000000,135144.000000000000000,5121538.000000000000000,3,cool,ICHmk5cool,75555.063480826851446,60995896.095360890030861
9,492,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,173237045.635500013828278,135143.598399999988033,173237046.000000000000000,135144.000000000000000,5121538.000000000000000,5,cool,ICHmk5cool,4848.085918467164447,336961.426881522289477
10,492,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,173237045.635500013828278,135143.598399999988033,173237046.000000000000000,135144.000000000000000,5121538.000000000000000,7,warm,ICHmk5warm,46918.049657693845802,3299450.886579450219870
11,493,435.000000000000000,ESSF,mmw, , ,NDT2,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland, , ,Ecosystems with infrequent stand-initiating events,35723577.754000000655651,255337.839999999996508,35723578.000000000000000,255338.000000000000000,5118265.000000000000000,3,cool,ESSFmmwcool,531.430562444628663,4.233431119751580
12,493,435.000000000000000,ESSF,mmw, , ,NDT2,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland, , ,Ecosystems with infrequent stand-initiating events,35723577.754000000655651,255337.839999999996508,35723578.000000000000000,255338.000000000000000,5118265.000000000000000,5,cool,ESSFmmwcool,1021.303371510702277,7.197431258208267
13,493,435.000000000000000,ESSF,mmw, , ,NDT2,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland, , ,Ecosystems with infrequent stand-initiating events,35723577.754000000655651,255337.839999999996508,35723578.000000000000000,255338.000000000000000,5118265.000000000000000,7,warm,ESSFmmwwarm,894.397958162145073,7.388853533805510
14,497,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,117500.000000000000000,2300.000000000000000,117500.000000000000000,2300.000000000000000,5122563.000000000000000,3,cool,IMAuncool,1454.710566749853569,26419.485513438768976
15,497,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,117500.000000000000000,2300.000000000000000,117500.000000000000000,2300.000000000000000,5122563.000000000000000,7,warm,IMAunwarm,607.671570850025546,13829.960278894614021
16,499,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,142500.000000000000000,2400.000000000000000,142500.000000000000000,2400.000000000000000,5122570.000000000000000,3,cool,IMAuncool,462.525597199085894,2612.663230682675021
17,500,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,155000.000000000000000,2800.000000000000000,155000.000000000000000,2800.000000000000000,5122569.000000000000000,3,cool,IMAuncool,2327.150911798413745,59138.314986037687049
18,501,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,186329.794400000013411,2639.186999999999898,186330.000000000000000,2639.000000000000000,5122573.000000000000000,3,cool,IMAuncool,61.142482103473135,211.723952946208584
19,505,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,190000.000000000000000,2400.000000000000000,190000.000000000000000,2400.000000000000000,5122579.000000000000000,3,cool,IMAuncool,539.470800375484032,7842.252623854602462
20,506,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,167501.875000000000000,2499.925099999999929,167502.000000000000000,2500.000000000000000,5122578.000000000000000,3,cool,IMAuncool,1495.772488877831393,22908.670963010943524
