OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area
1,5,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1767500.000000000000000,10500.000000000000000,1767500.000000000000000,10500.000000000000000,5117491.000000000000000,2,cool,ESSFdkpcool,10544.467459968658659,1763842.671947327908128
2,5,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1767500.000000000000000,10500.000000000000000,1767500.000000000000000,10500.000000000000000,5117491.000000000000000,6,warm,ESSFdkpwarm,1883.180199188425604,3049.958479668540349
3,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,2,cool,ESSFdkwcool,401752.928519005014095,28483855.688869465142488
4,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,5,cool,ESSFdkwcool,9422.376844815598815,162996.539114314247854
5,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,6,warm,ESSFdkwwarm,206282.739947584690526,7235206.123987591825426
6,7,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,14735000.000000000000000,88700.000000000000000,14735000.000000000000000,88700.000000000000000,5117487.000000000000000,2,cool,ESSFdkpcool,88762.272532747869263,14719741.776810863986611
7,7,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,14735000.000000000000000,88700.000000000000000,14735000.000000000000000,88700.000000000000000,5117487.000000000000000,6,warm,ESSFdkpwarm,3322.685421013324685,10427.704441702217082
8,8,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,5232500.000000000000000,28500.000000000000000,5232500.000000000000000,28500.000000000000000,5122052.000000000000000,2,cool,IMAuncool,28495.793704738163797,5230780.505717514082789
9,9,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,8131716.584499999880791,74052.109100000001490,8131717.000000000000000,74052.000000000000000,5117471.000000000000000,2,cool,ESSFdkpcool,74054.145917362431646,8127825.508513129316270
10,9,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,8131716.584499999880791,74052.109100000001490,8131717.000000000000000,74052.000000000000000,5117471.000000000000000,6,warm,ESSFdkpwarm,467.392868943788415,1230.887958082351133
11,10,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,635219.487199999974109,7790.015999999999622,635219.000000000000000,7790.000000000000000,5117457.000000000000000,2,cool,ESSFdkpcool,7789.081745583943302,634273.756218615802936
12,10,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,635219.487199999974109,7790.015999999999622,635219.000000000000000,7790.000000000000000,5117457.000000000000000,6,warm,ESSFdkpwarm,243.255501571337504,724.279363966036385
13,11,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,919780.512800000025891,8446.469999999999345,919781.000000000000000,8446.000000000000000,5120897.000000000000000,2,cool,ESSFwmpcool,8445.275478293702690,919462.084627074422315
14,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,2,cool,ESSFwmwcool,77947.518568265877548,6271914.836482706479728
15,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,5,cool,ESSFwmwcool,1791.773025843160440,25085.839506264484953
16,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,6,warm,ESSFwmwwarm,37351.884396032495715,1362363.482520105317235
17,13,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,292241.732299999974202,4377.379700000000412,292242.000000000000000,4377.000000000000000,5117451.000000000000000,2,cool,ESSFdkpcool,4376.671647743549329,291887.507796806166880
18,13,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,292241.732299999974202,4377.379700000000412,292242.000000000000000,4377.000000000000000,5117451.000000000000000,6,warm,ESSFdkpwarm,93.240383715560554,253.299577899005982
19,14,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,265258.267700000025798,4224.105700000000070,265258.000000000000000,4224.000000000000000,5120894.000000000000000,2,cool,ESSFwmpcool,4223.477655278069506,265166.943862976389937
20,15,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3750784.940500000026077,36310.348100000002887,3750785.000000000000000,36310.000000000000000,5120909.000000000000000,2,cool,ESSFwmpcool,36303.778324752573099,3747703.526864155661315
21,15,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3750784.940500000026077,36310.348100000002887,3750785.000000000000000,36310.000000000000000,5120909.000000000000000,6,warm,ESSFwmpwarm,695.903630398580958,1869.494967952933393
22,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,2,cool,MSdkcool,33178.225041846802924,4324945.663217349909246
23,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,5,cool,MSdkcool,2449.319634860184124,21643.473696213324729
24,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,6,warm,MSdkwarm,20099.448088373112114,385055.192407703667413
25,17,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,347500.000000000000000,4100.000000000000000,347500.000000000000000,4100.000000000000000,5122033.000000000000000,2,cool,IMAuncool,4099.432061994904871,347393.103917389060371
26,18,435.000000000000000,ICH,mk,4, ,NDT3,ICHmk4,ICH mk 4,Interior Cedar -- Hemlock,Moist Cool,Elk, ,Ecosystems with frequent stand-initiating events,2185939.805600000079721,12761.671000000000276,2185940.000000000000000,12762.000000000000000,5121523.000000000000000,2,cool,ICHmk4cool,29723.606310427363496,1151464.698449692456052
27,18,435.000000000000000,ICH,mk,4, ,NDT3,ICHmk4,ICH mk 4,Interior Cedar -- Hemlock,Moist Cool,Elk, ,Ecosystems with frequent stand-initiating events,2185939.805600000079721,12761.671000000000276,2185940.000000000000000,12762.000000000000000,5121523.000000000000000,5,cool,ICHmk4cool,2154.765015057493656,16934.909032353058137
28,18,435.000000000000000,ICH,mk,4, ,NDT3,ICHmk4,ICH mk 4,Interior Cedar -- Hemlock,Moist Cool,Elk, ,Ecosystems with frequent stand-initiating events,2185939.805600000079721,12761.671000000000276,2185940.000000000000000,12762.000000000000000,5121523.000000000000000,6,warm,ICHmk4warm,25390.938060179832974,1016887.571869700797834
29,19,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3827500.000000000000000,20000.000000000000000,3827500.000000000000000,20000.000000000000000,5117494.000000000000000,2,cool,ESSFdkpcool,20025.342727290732000,3824593.367676516994834
30,19,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3827500.000000000000000,20000.000000000000000,3827500.000000000000000,20000.000000000000000,5117494.000000000000000,6,warm,ESSFdkpwarm,1141.874547169769357,1818.404647692665549
