OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area,Calculate_Area_Ha
1,5,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1767500.000000000000000,10500.000000000000000,1767500.000000000000000,10500.000000000000000,5117491.000000000000000,2,cool,ESSFdkpcool,11841.439740332247311,596280.609230036381632,59.628060923003638
2,5,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1767500.000000000000000,10500.000000000000000,1767500.000000000000000,10500.000000000000000,5117491.000000000000000,6,warm,ESSFdkpwarm,1626.649410867800952,2582.068679918430917,0.258206867991843
3,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,2,cool,ESSFdkwcool,236274.030179594847141,6405131.030835003592074,640.513103083500368
4,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,5,cool,ESSFdkwcool,8117.647198183965884,136921.100830465235049,13.692110083046524
5,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,6,warm,ESSFdkwwarm,163641.422010943468194,5843509.208227803930640,584.350920822780381
6,7,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,14735000.000000000000000,88700.000000000000000,14735000.000000000000000,88700.000000000000000,5117487.000000000000000,2,cool,ESSFdkpcool,15308.633652453223476,598608.788010455551557,59.860878801045558
7,7,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,14735000.000000000000000,88700.000000000000000,14735000.000000000000000,88700.000000000000000,5117487.000000000000000,6,warm,ESSFdkpwarm,2788.279286967101598,8774.667805215993212,0.877466780521599
8,9,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,8131716.584499999880791,74052.109100000001490,8131717.000000000000000,74052.000000000000000,5117471.000000000000000,2,cool,ESSFdkpcool,2905.029978813632169,77638.448263733036583,7.763844826373304
9,9,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,8131716.584499999880791,74052.109100000001490,8131717.000000000000000,74052.000000000000000,5117471.000000000000000,6,warm,ESSFdkpwarm,26.314500044967918,42.613946925415519,0.004261394692542
10,11,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,919780.512800000025891,8446.469999999999345,919781.000000000000000,8446.000000000000000,5120897.000000000000000,2,cool,ESSFwmpcool,1533.324738291899394,36979.237495468507404,3.697923749546851
11,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,2,cool,ESSFwmwcool,43915.661593747521692,790563.082115201046690,79.056308211520104
12,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,5,cool,ESSFwmwcool,1479.643500564481656,21756.352946866925777,2.175635294686693
