OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area
1,47,435.000000000000000,ESSF,wm,1, ,NDT2,ESSFwm1,ESSFwm 1,Engelmann Spruce -- Subalpine Fir,Wet Mild,Fernie, ,Ecosystems with infrequent stand-initiating events,67039414.086099997162819,158824.372000000003027,67039414.000000000000000,158824.000000000000000,5120743.000000000000000,2,cool,ESSFwm1cool,35824.658928875425772,4464618.796461750753224
2,47,435.000000000000000,ESSF,wm,1, ,NDT2,ESSFwm1,ESSFwm 1,Engelmann Spruce -- Subalpine Fir,Wet Mild,Fernie, ,Ecosystems with infrequent stand-initiating events,67039414.086099997162819,158824.372000000003027,67039414.000000000000000,158824.000000000000000,5120743.000000000000000,5,cool,ESSFwm1cool,1305.391535168348582,12731.690180087936824
3,47,435.000000000000000,ESSF,wm,1, ,NDT2,ESSFwm1,ESSFwm 1,Engelmann Spruce -- Subalpine Fir,Wet Mild,Fernie, ,Ecosystems with infrequent stand-initiating events,67039414.086099997162819,158824.372000000003027,67039414.000000000000000,158824.000000000000000,5120743.000000000000000,6,warm,ESSFwm1warm,30181.712651141180686,742603.344656592118554
4,75,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,570000.000000000000000,7000.000000000000000,570000.000000000000000,7000.000000000000000,5117481.000000000000000,2,cool,ESSFdkpcool,6998.301221017458374,569720.372834943002090
5,76,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1187500.000000000000000,9300.000000000000000,1187500.000000000000000,9300.000000000000000,5122017.000000000000000,2,cool,IMAuncool,11543.082833933300208,1180310.779348451644182
6,77,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,27694603.378100000321865,193810.333400000003166,27694603.000000000000000,193810.000000000000000,5121033.000000000000000,2,cool,ESSFwmwcool,66455.992040103592444,2872490.327554378192872
7,77,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,27694603.378100000321865,193810.333400000003166,27694603.000000000000000,193810.000000000000000,5121033.000000000000000,5,cool,ESSFwmwcool,3397.946147093343370,71336.149788671958959
8,77,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,27694603.378100000321865,193810.333400000003166,27694603.000000000000000,193810.000000000000000,5121033.000000000000000,6,warm,ESSFwmwwarm,57636.021732881854405,1778026.713753073476255
9,78,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1357500.000000000000000,14300.000000000000000,1357500.000000000000000,14300.000000000000000,5122009.000000000000000,2,cool,IMAuncool,2425.783281407617778,136331.304648708610330
10,79,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,825000.000000000000000,8100.000000000000000,825000.000000000000000,8100.000000000000000,5117478.000000000000000,2,cool,ESSFdkpcool,8098.291305735430797,824601.263015628443100
