OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area,Calculate_Area_Ha
1,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,1,cool,ICHmw2cool,166688.184247233672068,25957912.608977295458317,2595.791260897729444
2,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,5,cool,ICHmw2cool,9248.889163525918775,156975.333997978683328,15.697533399797869
3,135,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,6,warm,ICHmw2warm,122527.913815429157694,3477668.243793638423085,347.766824379363868
4,138,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3640000.000000000000000,25300.000000000000000,3640000.000000000000000,25300.000000000000000,5120875.000000000000000,1,cool,ESSFwmpcool,34254.565605065552518,3128218.408790133427829,312.821840879013337
5,138,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3640000.000000000000000,25300.000000000000000,3640000.000000000000000,25300.000000000000000,5120875.000000000000000,6,warm,ESSFwmpwarm,7897.947335846706665,26656.923861293911614,2.665692386129390
6,139,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1063307.435899999924004,9198.093100000000049,1063307.000000000000000,9198.000000000000000,5121970.000000000000000,1,cool,IMAuncool,4706.049775204516664,109997.178367125583463,10.999717836712559
7,140,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,57019247.305299997329712,266979.954199999978300,57019247.000000000000000,266980.000000000000000,5120911.000000000000000,1,cool,ESSFwmpcool,356154.937640250136610,32315955.926618173718452,3231.595592661817591
8,140,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,57019247.305299997329712,266979.954199999978300,57019247.000000000000000,266980.000000000000000,5120911.000000000000000,6,warm,ESSFwmpwarm,26287.285346366857993,87484.278821325657191,8.748427882132566
9,142,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1735000.000000000000000,10800.000000000000000,1735000.000000000000000,10800.000000000000000,5120879.000000000000000,1,cool,ESSFwmpcool,17091.906217643238051,1215130.284982034703717,121.513028498203482
10,142,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1735000.000000000000000,10800.000000000000000,1735000.000000000000000,10800.000000000000000,5120879.000000000000000,6,warm,ESSFwmpwarm,1266.679878513524272,4368.588677887785707,0.436858867788779
11,143,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,9782735.965800000354648,77545.854800000000978,9782736.000000000000000,77546.000000000000000,5117464.000000000000000,1,cool,ESSFdkpcool,8545.231858139384713,272349.474852082144935,27.234947485208217
12,148,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,312500.000000000000000,3400.000000000000000,312500.000000000000000,3400.000000000000000,5120880.000000000000000,1,cool,ESSFwmpcool,3430.444087778235371,308591.934668600268196,30.859193466860027
13,148,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,312500.000000000000000,3400.000000000000000,312500.000000000000000,3400.000000000000000,5120880.000000000000000,6,warm,ESSFwmpwarm,1022.580124224879910,3667.969739409089470,0.366796973940909
14,151,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1130000.000000000000000,7300.000000000000000,1130000.000000000000000,7300.000000000000000,5121987.000000000000000,1,cool,IMAuncool,4894.999677538479773,112346.792818527843338,11.234679281852785
15,156,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7000705.362399999983609,43717.284200000001874,7000705.000000000000000,43717.000000000000000,5117469.000000000000000,1,cool,ESSFdkpcool,46100.932820642723527,3712302.956030983477831,371.230295603098341
16,156,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7000705.362399999983609,43717.284200000001874,7000705.000000000000000,43717.000000000000000,5117469.000000000000000,5,cool,ESSFdkpcool,290.212798328511269,954.940095436094339,0.095494009543609
17,156,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7000705.362399999983609,43717.284200000001874,7000705.000000000000000,43717.000000000000000,5117469.000000000000000,6,warm,ESSFdkpwarm,4791.884871687555460,99859.000277150902548,9.985900027715092
18,157,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,4147500.000000000000000,28100.000000000000000,4147500.000000000000000,28100.000000000000000,5122013.000000000000000,1,cool,IMAuncool,19276.525259068450396,824414.406309429788962,82.441440630942978
19,159,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,93461.560400000002119,1991.440800000000081,93462.000000000000000,1991.000000000000000,5122004.000000000000000,1,cool,IMAuncool,2044.593507132656669,92765.880750530224759,9.276588075053024
20,162,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,257858.975799999985611,3674.259399999999914,257859.000000000000000,3674.000000000000000,5122016.000000000000000,1,cool,IMAuncool,2250.824120531165590,38986.012423431871866,3.898601242343188
21,162,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,257858.975799999985611,3674.259399999999914,257859.000000000000000,3674.000000000000000,5122016.000000000000000,5,cool,IMAuncool,74.201605460676461,299.854120850558331,0.029985412085056
22,162,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,257858.975799999985611,3674.259399999999914,257859.000000000000000,3674.000000000000000,5122016.000000000000000,6,warm,IMAunwarm,1623.666889126528076,29622.220786691552348,2.962222078669155
23,163,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1055012.411499999929219,10107.642299999999523,1055012.000000000000000,10108.000000000000000,5122026.000000000000000,1,cool,IMAuncool,8789.586754614205347,387648.753640634240583,38.764875364063428
24,163,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1055012.411499999929219,10107.642299999999523,1055012.000000000000000,10108.000000000000000,5122026.000000000000000,6,warm,IMAunwarm,820.711591396235008,1773.340555697768650,0.177334055569777
25,226,435.000000000000000,ESSF,wh,2, ,NDT2,ESSFwh2,ESSFwh 2,Engelmann Spruce -- Subalpine Fir,Wet Hot,St Mary, ,Ecosystems with infrequent stand-initiating events,265161213.641499996185303,1778273.387199999997392,265161214.000000000000000,1778273.000000000000000,5120593.000000000000000,1,cool,ESSFwh2cool,977.314101929030585,21567.182605358982983,2.156718260535898
26,226,435.000000000000000,ESSF,wh,2, ,NDT2,ESSFwh2,ESSFwh 2,Engelmann Spruce -- Subalpine Fir,Wet Hot,St Mary, ,Ecosystems with infrequent stand-initiating events,265161213.641499996185303,1778273.387199999997392,265161214.000000000000000,1778273.000000000000000,5120593.000000000000000,6,warm,ESSFwh2warm,184.740331278282213,2116.489183968180441,0.211648918396818
27,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,1538428.300036486005411,132470820.244819492101669,13247.082024481949702
28,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,93332.071298712908174,1383497.603777149692178,138.349760377714972
29,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,6,warm,ESSFwm2warm,1268638.184783214936033,45234297.546303264796734,4523.429754630326897
30,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,1,cool,ESSFwmwcool,1743814.573619840200990,93339497.791506037116051,9333.949779150603717
31,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,3,cool,ESSFwmwcool,94288.470276300795376,11053738.162732988595963,1105.373816273298871
