OID_,MAP_LABEL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,IDFdm2,1,77149.000000000000000,69434100.000000000000000,0.009196041151881,0.018446629866958,0.009250588715076,0.014202054919992,0.002715286624284,1095.674335022456034,0.013648469001055,0.017772902920842
2,MSdw,2,30205.000000000000000,27184500.000000000000000,0.008169905282557,0.017261499539018,0.009091594256461,0.013087650636781,0.002437795396754,395.312487483955977,0.013864975422621,0.015870325639844
3,ICHmk5,3,293232.000000000000000,263908800.000000000000000,0.002676440635696,0.031862206757069,0.029185766121373,0.010400619369435,0.005029486840490,3049.794418938184208,0.008887421339750,0.014524209685624
4,ESSFmmw,4,3586.000000000000000,3227400.000000000000000,0.004252513870597,0.011130548082292,0.006878034211695,0.007876172161708,0.001965014496023,28.243953371886182,0.008198380470276,0.010269187390804
5,IMAun,5,20620.000000000000000,18558000.000000000000000,0.001561485114507,0.013449748978019,0.011888263863511,0.005684182375320,0.003075052904958,117.207840579096171,0.005522470455617,0.010091342683882
6,ESSFdkp,6,93409.000000000000000,84068100.000000000000000,0.000875279947650,0.014104782603681,0.013229502656031,0.005901300278278,0.003109403929664,551.234557693707416,0.005742185283452,0.010351610369980
7,ESSFdkw,7,177504.000000000000000,159753600.000000000000000,0.000794617750216,0.015859141945839,0.015064524195623,0.006720808539460,0.003455973662082,1192.970398988226407,0.006368278060108,0.011939057800919
8,ESSFdk2,8,463957.000000000000000,417561300.000000000000000,0.000615945842583,0.026784097775817,0.026168151933234,0.008276000640172,0.004442138112886,3839.708429012185206,0.007844639942050,0.013504728861153
9,MSdk,9,942191.000000000000000,847971900.000000000000000,0.000336462078849,0.034955132752657,0.034618670673808,0.011292423534542,0.007937706647232,10639.619822434100570,0.009733263403177,0.023188220337033
10,IDFxk,10,422700.000000000000000,380430000.000000000000000,0.007471518591046,0.062485210597515,0.055013692006469,0.025053766662320,0.013389327985300,10590.227168162506132,0.019109624437988,0.046949105709791
11,IDFdk5,11,732191.000000000000000,658971900.000000000000000,0.005465495865792,0.062675192952156,0.057209697086364,0.018704546090797,0.011967800887945,13695.300306766690483,0.014914666302502,0.033241771161556
12,ESSFdk1,12,7078.000000000000000,6370200.000000000000000,0.007776213344187,0.013739006593823,0.005962793249637,0.010623774723555,0.001652924712057,75.195077493321264,0.010772311128676,0.012756060902029
13,ICHmw1,13,11618.000000000000000,10456200.000000000000000,0.003206420224160,0.011506423354149,0.008300003129989,0.007493764799212,0.002184193097043,87.062559437239699,0.007464910857379,0.010517866630107
14,ESSFmm3,14,7016.000000000000000,6314400.000000000000000,0.004251408856362,0.011603985913098,0.007352577056736,0.008000398770667,0.002127340590581,56.130797774996836,0.008040349464864,0.010967292822897
15,ESSFmmp,15,3106.000000000000000,2795400.000000000000000,0.002411109860986,0.010304422117770,0.007893312256783,0.006513944466905,0.001665277069787,20.232311514206259,0.006411434384063,0.008787323720753
