OID_,MAP_LABEL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,ESSFwm1,1,11984.000000000000000,10785600.000000000000000,0.001334650325589,0.002396647119895,0.001061996794306,0.001794994389700,0.000337307146386,21.511212766170541,0.001837059215177,0.002269328036346
2,ESSFdkp,2,550770.000000000000000,495693000.000000000000000,0.000000000000000,0.014248462393880,0.014248462393880,0.002147440048792,0.002514639601623,1182.745555673121999,0.001078292436432,0.006059735640883
3,IMAun,3,489935.000000000000000,440941500.000000000000000,0.000000000000000,0.013636634685099,0.013636634685099,0.001439179678539,0.002083092174258,705.104495805038255,0.000748086080421,0.003814550256357
4,ESSFwmw,4,10094.000000000000000,9084600.000000000000000,0.001271324814297,0.002374447416514,0.001103122602217,0.001753036629472,0.000325355205666,17.695151737891148,0.001692151010502,0.002227609953843
5,ESSFwmp,5,10838.000000000000000,9754200.000000000000000,0.001230672467500,0.002347913803533,0.001117241336033,0.001705753696002,0.000286053533007,18.486958557274242,0.001597295282409,0.002177033713087
6,ESSFdk1,6,61989.000000000000000,55790100.000000000000000,0.005520840641111,0.017205391079187,0.011684550438076,0.009828353775269,0.002822517356795,609.249822175132294,0.009324612095952,0.014448809064925
7,ESSFdkw,7,839856.000000000000000,755870400.000000000000000,0.000000000000000,0.016017844900489,0.016017844900489,0.002587490999714,0.002672909475224,2173.119841055994584,0.001548154861666,0.006626044400036
8,ESSFdk2,8,1597672.000000000000000,1437904800.000000000000000,0.000000000000000,0.014439112506807,0.014439112506807,0.002990852255259,0.002782453297295,4778.400904364041708,0.002149310312234,0.007331947516650
9,MSdk,9,933626.000000000000000,840263400.000000000000000,0.000019008486561,0.015640610828996,0.015621602342435,0.006566880412659,0.004201025902645,6131.010292148855115,0.006295285187662,0.012770228553563
10,IDFdm2,10,81219.000000000000000,73097100.000000000000000,0.007231840863824,0.024646691977978,0.017414851114154,0.012814471243729,0.003595275702643,1040.778539944438080,0.012379077263176,0.018853977695107
11,MSdw,11,59062.000000000000000,53155800.000000000000000,0.005750402342528,0.018018085509539,0.012267683167011,0.010555019768956,0.002809417132045,623.400577594061815,0.010419453959912,0.015162568166852
12,ICHmk5,12,123963.000000000000000,111566700.000000000000000,0.000692617963068,0.013323278166354,0.012630660203286,0.005600249095152,0.002593830731025,694.223678582292109,0.005379575770348,0.009360674954951
