OID_,MAP_LABEL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,ICHmw2,1,33253.000000000000000,29927700.000000000000000,0.000907170935534,0.002494802000001,0.001587631064467,0.001930059678519,0.000394164614119,64.180274489801761,0.001976671861485,0.002378423046321
2,IMAun,2,858775.000000000000000,772897500.000000000000000,0.000000000000000,0.015366646461189,0.015366646461189,0.000989317853551,0.001219134354374,849.601439683570902,0.000606478424743,0.002121639065444
3,ESSFwmp,3,227621.000000000000000,204858900.000000000000000,0.000007626603747,0.004027077462524,0.004019450858777,0.000716237823954,0.000624213268509,163.030769726156279,0.000486489909235,0.001781584345736
4,ESSFdkp,4,571131.000000000000000,514017900.000000000000000,0.000000000000000,0.018111119046807,0.018111119046807,0.001937164108782,0.002345739389689,1106.374474612968015,0.001012015738524,0.005011989735067
5,ESSFwh2,5,110980.000000000000000,99882000.000000000000000,0.000199215879547,0.002516068750992,0.002316852871445,0.001305524417846,0.000648618189308,144.887099892527914,0.001326820172835,0.002100082999095
6,ESSFwm2,6,324858.000000000000000,292372200.000000000000000,0.000026235162295,0.004663786385208,0.004637551222913,0.000982433930518,0.000766372631512,319.151521800333342,0.000616627716227,0.002047358569689
7,ESSFwmw,7,237701.000000000000000,213930900.000000000000000,0.000015657909898,0.004255429375917,0.004239771466018,0.000960429259547,0.000714728377565,228.294995423615262,0.000704316713382,0.001956910360605
8,MSdk,8,450162.000000000000000,405145800.000000000000000,0.000019323400920,0.040972970426083,0.040953647025162,0.006703316356528,0.006439430706215,3017.578297687553913,0.005426487419754,0.013894715346396
9,ESSFdkw,9,612935.000000000000000,551641500.000000000000000,0.000000000000000,0.022104524075985,0.022104524075985,0.002570888913067,0.003010735284624,1575.787795930568564,0.001443867688067,0.007144370395690
10,MSdw,10,138973.000000000000000,125075700.000000000000000,0.000376108393539,0.013623253442347,0.013247145048808,0.007654356408822,0.003618735828594,1063.748873203171343,0.008403345011175,0.011949901096523
11,ESSFdk1,11,150127.000000000000000,135114300.000000000000000,0.000373762188246,0.012541620060802,0.012167857872555,0.005084588965595,0.003323627547297,763.334087637831544,0.005224159453064,0.009598434343934
12,ICHdm,12,69423.000000000000000,62480700.000000000000000,0.000897481921129,0.002304645953700,0.001407164032571,0.001688302265566,0.000390641136602,117.207008182360838,0.001713922712952,0.002154914243147
13,IDFdm2,13,95215.000000000000000,85693500.000000000000000,0.003828926943243,0.015147859230638,0.011318932287395,0.011425567893090,0.002589320323196,1087.885446940564179,0.012548110447824,0.013594857417047
14,ESSFdk2,14,1010660.000000000000000,909594000.000000000000000,0.000000000000000,0.034320432692766,0.034320432692766,0.003900707510325,0.004428693606994,3942.289052385331615,0.002257779240608,0.009656681679189
15,ESSFmmw,15,257335.000000000000000,231601500.000000000000000,0.000000000000000,0.005257540382445,0.005257540382445,0.001052559770230,0.000910224053838,270.860468472138905,0.000848333234899,0.002400987595320
16,ESSFmm3,16,456488.000000000000000,410839200.000000000000000,0.000000000000000,0.011027483269572,0.011027483269572,0.001713956828125,0.001585077579069,782.400724557333888,0.001361110189464,0.003447945090011
17,ICHmk5,17,56109.000000000000000,50498100.000000000000000,0.000218463654164,0.022806704044342,0.022588240390178,0.009693300883898,0.005643285649619,543.881419294615512,0.010496896691620,0.016676906868815
18,IDFxk,18,364.000000000000000,327600.000000000000000,0.013719064183533,0.015110847540200,0.001391783356667,0.014358624514029,0.000342293714941,5.226539323106410,0.014329389669001,0.014844131004065
19,IDFdk5,19,92399.000000000000000,83159100.000000000000000,0.005496150813997,0.047822117805481,0.042325966991484,0.019427898505178,0.011479878937527,1795.118393979960501,0.015626085922122,0.038238836824894
20,ESSFmmp,20,257715.000000000000000,231943500.000000000000000,0.000000000000000,0.004606427624822,0.004606427624822,0.000862110945589,0.000746685538579,222.178922342428876,0.000690133078024,0.001855411473662
