OID_,MAP_LABEL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,IMAun,2,274.000000000000000,246600.000000000000000,0.002993106842041,0.003038606839254,0.000045499997213,0.003014498305283,0.000007370638130,0.825972535647452,0.003009533975273,0.003022012393922
2,MSdk,3,905332.000000000000000,814798800.000000000000000,0.015271696262062,0.015663322061300,0.000391625799239,0.015443769720026,0.000089899105395,13981.738928170763756,0.015453119762242,0.015575118362904
3,ESSFdkw,4,113556.000000000000000,102200400.000000000000000,0.005611506756395,0.005715746898204,0.000104240141809,0.005666983409245,0.000024234512760,643.519968020258716,0.005668348632753,0.005701490445063
4,MSdw,5,29391.000000000000000,26451900.000000000000000,0.018238201737404,0.018368490040302,0.000130288302898,0.018304925764113,0.000036459482123,538.000073133036267,0.018312880769372,0.018352974206209
5,ESSFdk1,6,5744.000000000000000,5169600.000000000000000,0.008664391003549,0.008709472604096,0.000045081600547,0.008686099887934,0.000017812729123,49.892957756295736,0.008673980832100,0.008706601802260
6,IDFdm2,7,71029.000000000000000,63926100.000000000000000,0.047826379537582,0.048348791897297,0.000522412359715,0.048162795101458,0.000121192068394,3420.955173261454092,0.048193205147982,0.048300731927156
7,ICHmk5,8,257641.000000000000000,231876900.000000000000000,0.017257776111364,0.017664089798927,0.000406313687563,0.017406992872056,0.000100851242036,4484.755050549261796,0.017368268221617,0.017571238800883
8,ESSFmmw,9,3496.000000000000000,3146400.000000000000000,0.002266996540129,0.002268897602335,0.000001901062205,0.002268074052909,0.000000442762137,7.929186888970452,0.002268130658194,0.002268644631840
9,ESSFdkp,10,24040.000000000000000,21636000.000000000000000,0.004716073628515,0.004799696151167,0.000083622522652,0.004756644937619,0.000019843579528,114.349744300357855,0.004762500524521,0.004783760895953
10,ESSFdk2,11,396614.000000000000000,356952600.000000000000000,0.007487494964153,0.007674729917198,0.000187234953046,0.007589654966123,0.000035607282862,3010.163414733952322,0.007589527638629,0.007635701447725
11,ESSFmm3,12,7010.000000000000000,6309000.000000000000000,0.003526685759425,0.003530092770234,0.000003407010809,0.003528618956444,0.000000760151709,24.735618884675205,0.003528680070303,0.003529601311311
12,IDFxk,13,257378.000000000000000,231640200.000000000000000,0.046989995986223,0.047507300972939,0.000517304986715,0.047212646801517,0.000128448271503,12151.496608480953000,0.047190569341183,0.047405873611569
13,IDFdk5,17,604135.000000000000000,543721500.000000000000000,0.036451041698456,0.037087924778461,0.000636883080006,0.036682516169981,0.000110136995098,22161.191906351596117,0.036662660539150,0.036839550733566
14,ICHmw1,18,11614.000000000000000,10452600.000000000000000,0.014245322905481,0.014260884374380,0.000015561468899,0.014253801173355,0.000003216342988,165.543646827339956,0.014254001434892,0.014257945772260
15,ESSFmmp,19,2782.000000000000000,2503800.000000000000000,0.001921832212247,0.001924906740896,0.000003074528649,0.001924278922774,0.000000374805327,5.353343963157386,0.001924342708662,0.001924736634828
