OID_,MAP_LABEL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,ICHdm,1,1434169.000000000000000,1290752100.000000000000000,0.013105280697346,0.013524468056858,0.000419187359512,0.013204801272452,0.000080318474550,18937.916636110519903,0.013187451288104,0.013304560445249
2,ESSFwmw,2,411401.000000000000000,370260900.000000000000000,0.004989397246391,0.005205020774156,0.000215623527765,0.005040254843763,0.000042789237890,2073.565882978939044,0.005027303472161,0.005128957796842
3,ESSFwm4,3,1227944.000000000000000,1105149600.000000000000000,0.009888632223010,0.010091421194375,0.000202788971364,0.009947430465278,0.000048365132281,12214.887555254765175,0.009929878637195,0.010029989946634
4,ESSFwmp,4,123987.000000000000000,111588300.000000000000000,0.003577484516427,0.003692079801112,0.000114595284685,0.003609837091767,0.000028632075359,447.572871496902167,0.003601309843361,0.003636984480545
5,ESSFdkp,5,50415.000000000000000,45373500.000000000000000,0.004723952151835,0.004842869937420,0.000118917785585,0.004797938824525,0.000026698780637,241.888085838408159,0.004796301014721,0.004837659187615
6,ESSFdkw,6,304652.000000000000000,274186800.000000000000000,0.005583786405623,0.008816128596663,0.003232342191041,0.005704423476648,0.000046816129689,1737.864021007886322,0.005710487719625,0.005758658936247
7,IMAun,7,3410.000000000000000,3069000.000000000000000,0.002979878801852,0.003071365412325,0.000091486610472,0.003019629135015,0.000031282627646,10.296935350401325,0.003020435571671,0.003069412615150
8,MSdk,8,11753.000000000000000,10577700.000000000000000,0.015690678730607,0.015743434429169,0.000052755698562,0.015723502680236,0.000015505054593,184.798327000811497,0.015731405466795,0.015737421810627
9,ICHmk4,9,51224.000000000000000,46101600.000000000000000,0.008753645233810,0.008889128454030,0.000135483220220,0.008791222301176,0.000031251185734,450.321571155451466,0.008791052736342,0.008804107736796
10,ESSFdk1,10,1387863.000000000000000,1249076700.000000000000000,0.008485237136483,0.008879926986992,0.000394689850509,0.008650793309908,0.000087641498466,12006.115955468230823,0.008636111393571,0.008787211775780
11,ESSFwm1,11,110723.000000000000000,99650700.000000000000000,0.006897395011038,0.007013170048594,0.000115775037557,0.006930899579279,0.000015027171008,767.409994116523308,0.006934388075024,0.006943431682885
12,ESSFdk2,12,78396.000000000000000,70556400.000000000000000,0.007644919212908,0.007715643849224,0.000070724636316,0.007705360967130,0.000008410199156,604.069478379096381,0.007708924356848,0.007711914135143
13,ICHmw2,13,10937.000000000000000,9843300.000000000000000,0.003718612249941,0.003731683129445,0.000013070879504,0.003726586786065,0.000003897166814,40.757679679198120,0.003728038631380,0.003730439115316
14,ESSFwh2,14,116393.000000000000000,104753700.000000000000000,0.003718319814652,0.003771171672270,0.000052851857617,0.003738112906324,0.000011442769543,435.090175505729860,0.003736949060112,0.003752061072737
15,ESSFwm2,15,240508.000000000000000,216457200.000000000000000,0.003083503106609,0.003132919780910,0.000049416674301,0.003102736022146,0.000010852056658,746.232835214352008,0.003102044458501,0.003115325747058
16,MSdw,16,1650822.000000000000000,1485739800.000000000000000,0.017901798710227,0.018724871799350,0.000823073089123,0.018229335265575,0.000161849514107,30093.387701786316029,0.018207060173154,0.018457528203726
17,IDFdm2,17,2006532.000000000000000,1805878800.000000000000000,0.047320887446404,0.048917591571808,0.001596704125404,0.048010195679696,0.000309124953766,96333.993957570855855,0.048053167760372,0.048402249813080
18,IDFxx2,18,915003.000000000000000,823502700.000000000000000,0.060857947915792,0.062247391790152,0.001389443874359,0.061461901114135,0.000310359997634,56237.823905136916437,0.061460368335247,0.061881802976131
19,ICHxw,19,11613.000000000000000,10451700.000000000000000,0.012768943794072,0.012784004211426,0.000015060417354,0.012777412063077,0.000002885468705,148.384086288511696,0.012777392752469,0.012781434506178
20,ICHdw1,20,262102.000000000000000,235891800.000000000000000,0.014506845735013,0.014630537480116,0.000123691745102,0.014549280295611,0.000030947670587,3813.395464040342631,0.014540061354637,0.014599733985960
21,IDFxk,21,179.000000000000000,161100.000000000000000,0.047399010509253,0.047404013574123,0.000005003064871,0.047401730345781,0.000001079976389,8.484909731894730,0.047401823103428,0.047403097152710
