OID_,MAP_LABEL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,ICHmw2,1,32861.000000000000000,29574900.000000000000000,0.004332298412919,0.004354130476713,0.000021832063794,0.004343091422747,0.000007152242286,142.718327242881287,0.004342478699982,0.004353075288236
2,IMAun,2,14124.000000000000000,12711600.000000000000000,0.003441461594775,0.003510750131682,0.000069288536906,0.003480001453631,0.000024226305967,49.151540531078375,0.003494322416373,0.003505684807897
3,ESSFwmp,3,95951.000000000000000,86355900.000000000000000,0.004182957578450,0.004221203736961,0.000038246158510,0.004209609080715,0.000006968553250,403.916200903703611,0.004210541024804,0.004218946211040
4,ESSFdkp,4,150477.000000000000000,135429300.000000000000000,0.005444170907140,0.005536274984479,0.000092104077339,0.005506156529685,0.000020446326183,828.549916117453563,0.005511720199138,0.005522346124053
5,ESSFwh2,5,109378.000000000000000,98440200.000000000000000,0.004350251052529,0.004382804036140,0.000032552983612,0.004370626923031,0.000008071836988,478.050431587273295,0.004374124575406,0.004380661481991
6,ESSFwm2,6,300120.000000000000000,270108000.000000000000000,0.003610148560256,0.003638821188360,0.000028672628105,0.003628162466377,0.000006303146728,1088.884119409138748,0.003627327736467,0.003636917099357
7,ESSFwmw,7,184995.000000000000000,166495500.000000000000000,0.004211360588670,0.005894167348742,0.001682806760073,0.005875895257651,0.000010938665846,1087.011243189216430,0.005874171387404,0.005890363920480
8,MSdk,8,419539.000000000000000,377585100.000000000000000,0.017817918211222,0.018020048737526,0.000202130526304,0.017934551221005,0.000047759023796,7524.243684709082117,0.017931705340743,0.017998151481152
9,ESSFdkw,9,413730.000000000000000,372357000.000000000000000,0.006473733112216,0.006592976395041,0.000119243282825,0.006553755415388,0.000020646077397,2711.485228008595641,0.006556109990925,0.006573039665818
10,MSdw,10,111822.000000000000000,100639800.000000000000000,0.021002346649766,0.021139528602362,0.000137181952596,0.021091084968663,0.000025764367944,2358.447303365889184,0.021099512465298,0.021117700263858
11,ESSFdk1,11,118877.000000000000000,106989300.000000000000000,0.009956854395568,0.010019225999713,0.000062371604145,0.009990577416390,0.000016151423877,1187.649871528145923,0.009995575994253,0.010007900185883
12,ICHdm,13,68908.000000000000000,62017200.000000000000000,0.015372375026345,0.015464810654521,0.000092435628176,0.015422866744251,0.000021736715076,1062.758901612838599,0.015427201986313,0.015455685183406
13,IDFdm2,14,89105.000000000000000,80194500.000000000000000,0.055402860045433,0.055679235607386,0.000276375561953,0.055586334595359,0.000070909808222,4953.020344119498077,0.055608492344618,0.055656235665083
14,ICHmk5,15,50893.000000000000000,45803700.000000000000000,0.020142585039139,0.020304404199123,0.000161819159985,0.020218596150900,0.000049608095392,1028.985013907770281,0.020200092345476,0.020289929583669
15,ESSFmmw,16,178779.000000000000000,160901100.000000000000000,0.002603536471725,0.002643938874826,0.000040402403101,0.002623771362894,0.000011444187584,469.075220486848593,0.002626701956615,0.002638896694407
16,ESSFdk2,17,848737.000000000000000,763863300.000000000000000,0.008653565309942,0.008825853466988,0.000172288157046,0.008770141939662,0.000036698841689,7443.543959442567939,0.008775281719863,0.008808284439147
17,ESSFmm3,18,421042.000000000000000,378937800.000000000000000,0.004048864822835,0.004112207796425,0.000063342973590,0.004085326807358,0.000017007333754,1720.094169623682546,0.004091264214367,0.004104961175472
18,IDFxk,19,364.000000000000000,327600.000000000000000,0.054781157523394,0.054794434458017,0.000013276934624,0.054786149586377,0.000003170567191,19.942158449441187,0.054785564541817,0.054790858924389
19,IDFdk5,20,84091.000000000000000,75681900.000000000000000,0.042666129767895,0.042878750711679,0.000212620943785,0.042800954744079,0.000044030066633,3599.175085384384147,0.042809661477804,0.042850106954575
20,ESSFmmp,22,75115.000000000000000,67603500.000000000000000,0.002209805883467,0.002242648042738,0.000032842159271,0.002222875159947,0.000008948526920,166.971267639430380,0.002219676971436,0.002235283330083
