"","Time","Zone","Region_Name","Aspect","mean_fs_BEC","mean_fs_BEC.aspect","min_fs_BEC","min_fs_BEC.aspect","max_fs_BEC","max_fs_BEC.aspect","FRI","FRI.aspect"
"1","Historical","Columbia","ESSFdk2","warm",100,70,10,5,2000,300,150,100
"2","Historical","Columbia","ESSFdk2","cool",100,50,10,1,2000,100,150,250
"3","Historical","Columbia","ESSFdkp","warm",100,50,10,1,2000,1000,400,100
"4","Historical","Columbia","ESSFdkp","cool",100,30,10,0,2000,250,400,250
"5","Historical","Columbia","ESSFdkw","warm",100,50,10,1,2000,1000,400,100
"6","Historical","Columbia","ESSFdkw","cool",100,30,10,0,2000,250,400,250
"7","Historical","Columbia","ESSFmmw","warm",100,50,10,1,2000,1000,400,100
"8","Historical","Columbia","ESSFmmw","cool",100,30,10,0,2000,250,400,250
"9","Historical","Columbia","ICHmk5","warm",10,70,10,5,5000,1000,150,50
"10","Historical","Columbia","ICHmk5","cool",10,70,10,1,5000,250,150,70
"11","Historical","Columbia","ICHmw1","warm",10,70,10,5,5000,1000,150,50
"12","Historical","Columbia","ICHmw1","cool",10,70,10,1,5000,250,150,70
"13","Historical","Columbia","IDFdk5","warm",10,70,2,3,100,300,50,20
"14","Historical","Columbia","IDFdk5","cool",10,70,2,1,100,100,50,20
"15","Historical","Columbia","IDFxk","warm",10,70,2,3,100,300,50,20
"16","Historical","Columbia","IDFxk","cool",10,70,2,1,100,100,50,20
"17","Historical","Columbia","IMAun","warm",50,0,10,0,5000,0,350,0
"18","Historical","Columbia","IMAun","cool",50,0,10,0,5000,0,350,0
"19","Historical","Columbia","MSdk","warm",20,50,2,2,1000,1000,120,50
"20","Historical","Columbia","MSdk","cool",20,50,2,1,1000,500,120,50
"21","Historical","Purcell","ESSFdk1","warm",100,70,10,5,2000,5000,150,150
"22","Historical","Purcell","ESSFdk1","cool",100,50,10,1,2000,1000,150,250
"23","Historical","Purcell","ESSFdk2","warm",100,70,10,5,2000,5000,150,150
"24","Historical","Purcell","ESSFdk2","cool",100,50,10,1,2000,1000,150,250
"25","Historical","Purcell","ESSFdkp","warm",100,70,10,1,2000,5000,400,200
"26","Historical","Purcell","ESSFdkp","cool",100,50,10,0,2000,1000,400,400
"27","Historical","Purcell","ESSFdkw","warm",100,70,10,1,2000,2000,400,200
"28","Historical","Purcell","ESSFdkw","cool",100,50,10,0,2000,500,400,400
"29","Historical","Purcell","ESSFmm3","warm",100,70,10,1,2000,2000,400,200
"30","Historical","Purcell","ESSFmm3","cool",100,50,10,0,2000,500,400,400
"31","Historical","Purcell","ESSFmmp","warm",100,50,10,1,2000,500,400,200
"32","Historical","Purcell","ESSFmmp","cool",100,30,10,0,2000,100,400,400
"33","Historical","Purcell","ESSFmmw","warm",100,50,10,1,2000,500,400,200
"34","Historical","Purcell","ESSFmmw","cool",100,30,10,0,2000,100,400,400
"35","Historical","Purcell","ESSFwh2","warm",100,50,10,1,2000,500,400,200
"36","Historical","Purcell","ESSFwh2","cool",100,30,10,0,2000,100,400,400
"37","Historical","Purcell","ESSFwm2","warm",100,50,10,1,2000,1000,400,200
"38","Historical","Purcell","ESSFwm2","cool",100,30,10,0,2000,300,400,400
"39","Historical","Purcell","ESSFwm4","warm",100,50,10,5,2000,1000,150,200
"40","Historical","Purcell","ESSFwm4","cool",100,30,10,1,2000,300,150,400
"41","Historical","Purcell","ESSFwmp","warm",100,50,10,1,2000,1000,400,200
"42","Historical","Purcell","ESSFwmp","cool",100,30,10,0,2000,300,400,400
"43","Historical","Purcell","ESSFwmw","warm",100,70,10,5,2000,1000,150,200
"44","Historical","Purcell","ESSFwmw","cool",100,50,10,1,2000,300,150,400
"45","Historical","Purcell","ESSFwcw","warm",100,50,10,5,2000,1000,150,200
"46","Historical","Purcell","ESSFwcw","cool",100,30,10,1,2000,300,150,400
"47","Historical","Purcell","ESSFwcp","warm",100,70,10,5,2000,1000,150,200
"48","Historical","Purcell","ESSFwcp","cool",100,50,10,1,2000,300,150,400
"49","Historical","Purcell","ICHdm","warm",10,70,10,2,5000,1000,150,70
"50","Historical","Purcell","ICHdm","cool",10,50,10,1,5000,500,150,100
"51","Historical","Purcell","ICHmw2","warm",10,70,10,2,5000,1000,150,70
"52","Historical","Purcell","ICHmw2","cool",10,50,10,1,5000,500,150,100
"53","Historical","Purcell","ICHmk5","warm",10,70,10,5,5000,5000,150,70
"54","Historical","Purcell","ICHmk5","cool",10,50,10,1,5000,1000,150,100
"55","Historical","Purcell","IMAun","warm",50,0,10,0,5000,0,350,0
"56","Historical","Purcell","IMAun","cool",50,0,10,0,5000,0,350,0
"57","Historical","Purcell","MSdk","warm",20,70,2,2,1000,1000,120,50
"58","Historical","Purcell","MSdk","cool",20,30,2,1,1000,500,120,70
"59","Historical","Purcell","MSdw","warm",20,70,2,2,1000,1000,120,50
"60","Historical","Purcell","MSdw","cool",20,50,2,1,1000,500,120,70
"61","Historical","Kootenay North","ESSFdk2","warm",100,100,10,5,2000,2000,150,150
"62","Historical","Kootenay North","ESSFdk3","cool",100,70,10,1,2000,500,150,250
"63","Historical","Kootenay North","ESSFdkp","warm",100,100,10,1,2000,2000,400,150
"64","Historical","Kootenay North","ESSFdkp","cool",100,70,10,0,2000,500,400,400
"65","Historical","Kootenay North","ESSFdkw","warm",100,100,10,1,2000,2000,400,150
"66","Historical","Kootenay North","ESSFdkw","cool",100,70,10,0,2000,500,400,400
"67","Historical","Kootenay North","ESSFwmw","warm",100,100,10,5,2000,2000,150,250
"68","Historical","Kootenay North","ESSFwmw","cool",100,70,10,1,2000,500,150,400
"69","Historical","Kootenay North","ICHmk5","warm",10,70,10,5,5000,5000,150,70
"70","Historical","Kootenay North","ICHmk6","cool",10,70,10,1,5000,1000,150,70
"71","Historical","Kootenay North","IMAun","warm",50,0,10,0,5000,0,350,0
"72","Historical","Kootenay North","IMAun","cool",50,0,10,0,5000,0,350,0
"73","Historical","Kootenay North","MSdk","warm",20,70,2,2,1000,5000,120,70
"74","Historical","Kootenay North","MSdk","cool",20,70,2,1,1000,1000,120,70
"75","Historical","Kootenay South","ESSFdk1","warm",100,70,10,5,2000,300,150,150
"76","Historical","Kootenay South","ESSFdk2","cool",100,50,10,1,2000,100,150,250
"77","Historical","Kootenay South","ESSFdkw","warm",100,50,10,1,2000,200,400,200
"78","Historical","Kootenay South","ESSFdkw","cool",100,30,10,0,2000,75,400,400
"79","Historical","Kootenay South","ESSFwm4","warm",100,70,10,5,2000,300,150,150
"80","Historical","Kootenay South","ESSFwm5","cool",100,50,10,1,2000,100,150,250
"81","Historical","Kootenay South","ESSFwmp","warm",100,50,10,1,2000,200,400,200
"82","Historical","Kootenay South","ESSFwmp","cool",100,30,10,0,2000,75,400,400
"83","Historical","Kootenay South","ICHdm","warm",10,10,10,5,5000,300,150,50
"84","Historical","Kootenay South","ICHdm","cool",10,5,10,1,5000,150,150,70
"85","Historical","Kootenay South","ICHdw1","warm",10,10,10,5,5000,300,150,50
"86","Historical","Kootenay South","ICHdw2","cool",10,5,10,1,5000,150,150,70
"87","Historical","Kootenay South","ICHmk4","warm",10,10,10,5,5000,300,150,50
"88","Historical","Kootenay South","ICHmk5","cool",10,5,10,1,5000,150,150,70
"89","Historical","Kootenay South","IDFdm2","warm",10,50,2,3,100,500,50,10
"90","Historical","Kootenay South","IDFdm3","cool",10,50,2,3,100,500,50,10
"91","Historical","Kootenay South","IDFxx2","warm",10,50,2,3,100,500,25,7
"92","Historical","Kootenay South","IDFxx3","cool",10,50,2,3,100,500,25,7
"93","Historical","Kootenay South","IMAun","warm",50,0,10,0,5000,0,350,0
"94","Historical","Kootenay South","IMAun","cool",50,0,10,0,5000,0,350,0
"95","Historical","Kootenay South","MSdw","warm",20,30,2,2,1000,400,120,30
"96","Historical","Kootenay South","MSdw","cool",20,30,2,1,1000,250,120,30
"97","Historical","Elk","ESSFdk1","warm",100,70,10,5,2000,2000,150,120
"98","Historical","Elk","ESSFdk2","cool",100,50,10,1,2000,500,150,250
"99","Historical","Elk","ESSFdk2","warm",100,70,10,5,2000,2000,150,150
"100","Historical","Elk","ESSFdk3","cool",100,50,10,1,2000,500,150,250
"101","Historical","Elk","ESSFdkp","warm",100,50,10,1,2000,1000,400,200
"102","Historical","Elk","ESSFdkp","cool",100,30,10,0,2000,300,400,400
"103","Historical","Elk","ESSFdkw","warm",100,50,10,1,2000,1000,400,200
"104","Historical","Elk","ESSFdkw","cool",100,30,10,0,2000,300,400,400
"105","Historical","Elk","ESSFwm1","warm",100,50,10,1,2000,200,400,200
"106","Historical","Elk","ESSFwm2","cool",100,30,10,0,2000,75,400,400
"107","Historical","Elk","ESSFwmp","warm",100,50,10,1,2000,1000,400,200
"108","Historical","Elk","ESSFwmp","cool",100,30,10,0,2000,300,400,400
"109","Historical","Elk","ESSFwmw","warm",100,50,10,1,2000,1000,400,200
"110","Historical","Elk","ESSFwmw","cool",100,30,10,0,2000,300,400,400
"111","Historical","Elk","ICHdm","warm",10,70,10,5,5000,5000,150,50
"112","Historical","Elk","ICHdm","cool",10,50,10,1,5000,1000,150,70
"113","Historical","Elk","ICHmk4","warm",10,70,10,5,5000,5000,150,50
"114","Historical","Elk","ICHmk5","cool",10,50,10,1,5000,1000,150,70
"115","Historical","Elk","IMAun","warm",50,0,10,0,5000,0,350,0
"116","Historical","Elk","IMAun","cool",50,0,10,0,5000,0,350,0
"117","Historical","Elk","MSdk","warm",20,50,2,2,1000,5000,120,50
"118","Historical","Elk","MSdk","cool",20,30,2,1,1000,1000,120,70
"119","Historical","Elk","MSdw","warm",20,50,2,2,1000,5000,120,50
"120","Historical","Elk","MSdw","cool",20,30,2,1,1000,1000,120,70
"121","Modern","Columbia","ESSFdk1","cool",128,3,10,2,246,5,165,540
"122","Modern","Columbia","ESSFdk1","warm",128,123,10,5,246,242,165,150
"123","Modern","Columbia","ESSFdk2","cool",40,10,0,0,274,62,4050,2700
"124","Modern","Columbia","ESSFdk2","warm",40,31,0,0,274,207,4050,4050
"125","Modern","Columbia","ESSFdkp","cool",9,9,0,0,23,23,2700,2700
"126","Modern","Columbia","ESSFdkp","warm",9,0,0,0,23,0,2700,NA
"127","Modern","Columbia","ESSFdkw","cool",25,13,0,1,118,41,4050,4050
"128","Modern","Columbia","ESSFdkw","warm",25,11,0,0,118,75,4050,2700
"129","Modern","Columbia","ESSFmmp","cool",0,0,0,0,0,0,NA,NA
"130","Modern","Columbia","ESSFmmp","warm",0,0,0,0,0,0,NA,NA
