"","Zone","Region_Name","Aspect","mean_fs_BEC.H","mean_fs_BEC.M","mean_fs_BEC.aspect.H","mean_fs_BEC.aspect.M","min_fs_BEC.H","min_fs_BEC.M","min_fs_BEC.aspect.H","min_fs_BEC.aspect.M","max_fs_BEC.H","max_fs_BEC.M","max_fs_BEC.aspect.H","max_fs_BEC.aspect.M","FRI.H","FRI.M","FRI.aspect.H","FRI.aspect.M"
"1","Columbia","ESSFdk2","warm",100,40,70,31,10,0,5,0,2000,274,300,207,150,4050,100,4050
"2","Columbia","ESSFdk2","cool",100,40,50,10,10,0,1,0,2000,274,100,62,150,4050,250,2700
"3","Columbia","ESSFdkp","warm",100,9,50,0,10,0,1,0,2000,23,1000,0,400,2700,100,NA
"4","Columbia","ESSFdkp","cool",100,9,30,9,10,0,0,0,2000,23,250,23,400,2700,250,2700
"5","Columbia","ESSFdkw","warm",100,25,50,11,10,0,1,0,2000,118,1000,75,400,4050,100,2700
"6","Columbia","ESSFdkw","cool",100,25,30,13,10,0,0,1,2000,118,250,41,400,4050,250,4050
"7","Columbia","ESSFmmw","warm",100,0,50,0,10,0,1,0,2000,0,1000,0,400,NA,100,NA
"8","Columbia","ESSFmmw","cool",100,0,30,0,10,0,0,0,2000,0,250,0,400,NA,250,NA
"9","Columbia","ICHmk5","warm",10,55,70,32,10,1,5,0,5000,198,1000,132,150,4050,50,2700
"10","Columbia","ICHmk5","cool",10,55,70,21,10,1,1,0,5000,198,250,78,150,4050,70,8100
"11","Columbia","ICHmw1","warm",10,NA,70,NA,10,NA,5,NA,5000,NA,1000,NA,150,NA,50,NA
"12","Columbia","ICHmw1","cool",10,NA,70,NA,10,NA,1,NA,5000,NA,250,NA,150,NA,70,NA
"13","Columbia","IDFdk5","warm",10,62,70,56,2,0,3,0,100,613,300,550,50,2025,20,1620
"14","Columbia","IDFdk5","cool",10,62,70,18,2,0,1,0,100,613,100,388,50,2025,20,2700
"15","Columbia","IDFxk","warm",10,103,70,72,2,0,3,0,100,1753,300,1166,50,810,20,810
"16","Columbia","IDFxk","cool",10,103,70,30,2,0,1,0,100,1753,100,510,50,810,20,736
"17","Columbia","IMAun","warm",50,11,0,NA,10,11,0,NA,5000,11,0,NA,350,198,0,NA
"18","Columbia","IMAun","cool",50,11,0,11,10,11,0,11,5000,11,0,11,350,198,0,193
"19","Columbia","MSdk","warm",20,122,50,49,2,0,2,0,1000,892,1000,263,120,1620,50,1157
"20","Columbia","MSdk","cool",20,122,50,87,2,0,1,0,1000,892,500,715,120,1620,50,2025
"21","Purcell","ESSFdk1","warm",100,414,70,356,10,1,5,1,2000,1355,5000,1102,150,231,150,213
"22","Purcell","ESSFdk1","cool",100,414,50,47,10,1,1,0,2000,1355,1000,231,150,231,250,352
