"","Region","MAP_LABEL","AREA","MIN","MAX","MEAN","MEDIAN"
"1","Purcell","ICHmw2",3e+07,9e-04,0.002,0.002,0.002
"2","Purcell","IMAun",8e+08,0,0.02,0.001,6e-04
"3","Purcell","ESSFwmp",2e+08,8e-06,0.004,7e-04,5e-04
"4","Purcell","ESSFdkp",5e+08,0,0.02,0.002,0.001
"5","Purcell","ESSFwh2",1e+08,2e-04,0.003,0.001,0.001
"6","Purcell","ESSFwm2",3e+08,3e-05,0.005,0.001,6e-04
"7","Purcell","ESSFwmw",2e+08,2e-05,0.004,0.001,7e-04
"8","Purcell","MSdk",4e+08,2e-05,0.04,0.007,0.005
"9","Purcell","ESSFdkw",6e+08,0,0.02,0.003,0.001
"10","Purcell","MSdw",1e+08,4e-04,0.01,0.008,0.008
"11","Purcell","ESSFdk1",1e+08,4e-04,0.01,0.005,0.005
"12","Purcell","ICHdm",6e+07,9e-04,0.002,0.002,0.002
"13","Purcell","IDFdm2",9e+07,0.004,0.02,0.01,0.01
"14","Purcell","ESSFdk2",9e+08,0,0.03,0.004,0.002
"15","Purcell","ESSFmmw",2e+08,0,0.005,0.001,8e-04
"16","Purcell","ESSFmm3",4e+08,0,0.01,0.002,0.001
"17","Purcell","ICHmk5",5e+07,2e-04,0.02,0.01,0.01
"18","Purcell","IDFxk",3e+05,0.01,0.02,0.01,0.01
"19","Purcell","IDFdk5",8e+07,0.005,0.05,0.02,0.02
"20","Purcell","ESSFmmp",2e+08,0,0.005,9e-04,7e-04
"21","Kootenay South","ICHdm",1e+09,8e-04,0.03,0.007,0.006
"22","Kootenay South","ESSFwmw",4e+08,3e-04,0.02,0.003,0.003
"23","Kootenay South","ESSFwm4",1e+09,3e-04,0.02,0.005,0.004
"24","Kootenay South","ESSFwmp",2e+08,3e-04,0.01,0.003,0.002
"25","Kootenay South","ESSFdkp",9e+07,6e-04,0.01,0.003,0.002
"26","Kootenay South","IMAun",3e+07,4e-04,0.01,0.003,0.002
"27","Kootenay South","ESSFdk1",1e+09,4e-04,0.04,0.007,0.005
"28","Kootenay South","ESSFdkw",3e+08,6e-04,0.03,0.004,0.003
"29","Kootenay South","MSdk",1e+07,0.003,0.01,0.006,0.006
"30","Kootenay South","ICHmk4",5e+07,0.002,0.008,0.003,0.003
"31","Kootenay South","ICHmw2",1e+07,0.002,0.003,0.002,0.002
"32","Kootenay South","ESSFwh2",1e+08,7e-04,0.01,0.003,0.002
"33","Kootenay South","ESSFwm2",2e+08,3e-04,0.01,0.002,0.002
"34","Kootenay South","MSdw",2e+09,4e-04,0.06,0.01,0.01
"35","Kootenay South","IDFdm2",2e+09,0.003,0.08,0.03,0.02
"36","Kootenay South","ESSFwm1",1e+08,0.002,0.02,0.004,0.003
"37","Kootenay South","IDFxx2",9e+08,0.007,0.08,0.03,0.03
"38","Kootenay South","ICHxw",1e+07,0.004,0.01,0.007,0.006
"39","Kootenay South","ICHdw1",2e+08,0.001,0.02,0.008,0.007
"40","Kootenay South","IDFxk",2e+05,0.02,0.02,0.02,0.02
"41","Kootenay South","ESSFdk2",7e+07,0.002,0.01,0.005,0.004
"42","Kootenay North","ESSFwm1",1e+07,0.001,0.002,0.002,0.002
