"","Scenario","Region","BEC","AREA","MIN","MAX","MEAN","MEDIAN"
"1","RCP8.5","Purcell","ICHmw2",3e+07,0.004,0.004,0.004,0.004
"2","RCP8.5","Purcell","IMAun",1e+07,0.003,0.004,0.003,0.003
"3","RCP8.5","Purcell","ESSFwmp",9e+07,0.004,0.004,0.004,0.004
"4","RCP8.5","Purcell","ESSFdkp",1e+08,0.005,0.006,0.006,0.006
"5","RCP8.5","Purcell","ESSFwh2",1e+08,0.004,0.004,0.004,0.004
"6","RCP8.5","Purcell","ESSFwm2",3e+08,0.004,0.004,0.004,0.004
"7","RCP8.5","Purcell","ESSFwmw",2e+08,0.004,0.006,0.006,0.006
"8","RCP8.5","Purcell","MSdk",4e+08,0.02,0.02,0.02,0.02
"9","RCP8.5","Purcell","ESSFdkw",4e+08,0.006,0.007,0.007,0.007
"10","RCP8.5","Purcell","MSdw",1e+08,0.02,0.02,0.02,0.02
"11","RCP8.5","Purcell","ESSFdk1",1e+08,0.01,0.01,0.01,0.01
"12","RCP8.5","Purcell","ICHdm",6e+07,0.02,0.02,0.02,0.02
"13","RCP8.5","Purcell","IDFdm2",8e+07,0.06,0.06,0.06,0.06
"14","RCP8.5","Purcell","ICHmk5",5e+07,0.02,0.02,0.02,0.02
"15","RCP8.5","Purcell","ESSFmmw",2e+08,0.003,0.003,0.003,0.003
"16","RCP8.5","Purcell","ESSFdk2",8e+08,0.009,0.009,0.009,0.009
"17","RCP8.5","Purcell","ESSFmm3",4e+08,0.004,0.004,0.004,0.004
"18","RCP8.5","Purcell","IDFxk",3e+05,0.05,0.05,0.05,0.05
"19","RCP8.5","Purcell","IDFdk5",8e+07,0.04,0.04,0.04,0.04
"20","RCP8.5","Purcell","ESSFmmp",7e+07,0.002,0.002,0.002,0.002
"21","RCP8.5","Kootenay South","ICHdm",1e+09,0.02,0.02,0.02,0.02
"22","RCP8.5","Kootenay South","ESSFwmw",4e+08,0.006,0.006,0.006,0.006
"23","RCP8.5","Kootenay South","ESSFwm4",1e+09,0.01,0.01,0.01,0.01
"24","RCP8.5","Kootenay South","ESSFwmp",1e+08,0.004,0.004,0.004,0.004
"25","RCP8.5","Kootenay South","ESSFdkp",5e+07,0.005,0.006,0.006,0.006
"26","RCP8.5","Kootenay South","ESSFdkw",3e+08,0.006,0.01,0.007,0.007
"27","RCP8.5","Kootenay South","IMAun",3e+06,0.003,0.004,0.003,0.003
"28","RCP8.5","Kootenay South","MSdk",1e+07,0.02,0.02,0.02,0.02
"29","RCP8.5","Kootenay South","ICHmk4",5e+07,0.01,0.01,0.01,0.01
"30","RCP8.5","Kootenay South","ESSFdk1",1e+09,0.01,0.01,0.01,0.01
"31","RCP8.5","Kootenay South","ESSFwm1",1e+08,0.008,0.008,0.008,0.008
"32","RCP8.5","Kootenay South","ESSFdk2",7e+07,0.009,0.009,0.009,0.009
"33","RCP8.5","Kootenay South","ICHmw2",1e+07,0.004,0.004,0.004,0.004
"34","RCP8.5","Kootenay South","ESSFwh2",1e+08,0.004,0.004,0.004,0.004
"35","RCP8.5","Kootenay South","ESSFwm2",2e+08,0.004,0.004,0.004,0.004
"36","RCP8.5","Kootenay South","MSdw",1e+09,0.02,0.02,0.02,0.02
"37","RCP8.5","Kootenay South","IDFdm2",2e+09,0.05,0.06,0.06,0.06
"38","RCP8.5","Kootenay South","IDFxx2",8e+08,0.07,0.07,0.07,0.07
"39","RCP8.5","Kootenay South","ICHxw",1e+07,0.01,0.01,0.01,0.01
"40","RCP8.5","Kootenay South","ICHdw1",2e+08,0.02,0.02,0.02,0.02
"41","RCP8.5","Kootenay South","IDFxk",2e+05,0.05,0.05,0.05,0.05
"42","RCP8.5","Kootenay North","ESSFdkp",9e+07,0.005,0.006,0.005,0.005
"43","RCP8.5","Kootenay North","ESSFdkw",4e+08,0.006,0.007,0.007,0.007
"44","RCP8.5","Kootenay North","IMAun",1e+07,0.003,0.004,0.003,0.003
"45","RCP8.5","Kootenay North","ESSFwm1",1e+07,0.008,0.008,0.008,0.008
"46","RCP8.5","Kootenay North","MSdk",8e+08,0.02,0.02,0.02,0.02
"47","RCP8.5","Kootenay North","ESSFwmw",8e+06,0.006,0.006,0.006,0.006
"48","RCP8.5","Kootenay North","ESSFdk2",1e+09,0.009,0.009,0.009,0.009
"49","RCP8.5","Kootenay North","ESSFwmp",6e+06,0.004,0.004,0.004,0.004
"50","RCP8.5","Kootenay North","ESSFdk1",5e+07,0.01,0.01,0.01,0.01
"51","RCP8.5","Kootenay North","MSdw",5e+07,0.02,0.02,0.02,0.02
"52","RCP8.5","Kootenay North","IDFdm2",7e+07,0.06,0.06,0.06,0.06
"53","RCP8.5","Kootenay North","ICHmk5",1e+08,0.02,0.02,0.02,0.02
"54","RCP8.5","Elk","ESSFdkp",6e+07,0.005,0.006,0.005,0.005
"55","RCP8.5","Elk","ESSFdkw",5e+08,0.006,0.007,0.007,0.007
"56","RCP8.5","Elk","IMAun",7e+05,0.003,0.003,0.003,0.003
"57","RCP8.5","Elk","ESSFwmp",9e+06,0.004,0.004,0.004,0.004
