"","Zone","Region_Name","Aspect","number_fires","number_fires.aspect","mean_fs_BEC","mean_fs_BEC.aspect","min_fs_BEC","min_fs_BEC.aspect","max_fs_BEC","max_fs_BEC.aspect","FRI","FRI.aspect"
"1","Columbia","ESSFdk1","cool",2,2,128,3,10,2,246,5,165,540
"2","Columbia","ESSFdk1","warm",2,2,128,123,10,5,246,242,165,150
"3","Columbia","ESSFdk2","cool",14,12,40,10,0,0,274,62,4050,2700
"4","Columbia","ESSFdk2","warm",14,13,40,31,0,0,274,207,4050,4050
"5","Columbia","ESSFdkp","cool",6,6,9,9,0,0,23,23,2700,2700
"6","Columbia","ESSFdkp","warm",6,2,9,0,0,0,23,0,2700,Inf
"7","Columbia","ESSFdkw","cool",8,7,25,13,0,1,118,41,4050,4050
"8","Columbia","ESSFdkw","warm",8,7,25,11,0,0,118,75,4050,2700
"9","Columbia","ESSFmmp","cool",3,3,0,0,0,0,0,0,Inf,Inf
"10","Columbia","ESSFmmp","warm",3,1,0,0,0,0,0,0,Inf,Inf
"11","Columbia","ESSFmmw","cool",1,1,0,0,0,0,0,0,Inf,Inf
"12","Columbia","ESSFmmw","warm",1,1,0,0,0,0,0,0,Inf,Inf
"13","Columbia","ICHmk5","cool",7,7,55,21,1,0,198,78,4050,8100
"14","Columbia","ICHmk5","warm",7,5,55,32,1,0,198,132,4050,2700
"15","Columbia","IDFdk5","cool",24,22,62,18,0,0,613,388,2025,2700
"16","Columbia","IDFdk5","warm",24,17,62,56,0,0,613,550,2025,1620
"17","Columbia","IDFdm2","cool",7,6,37,4,0,0,261,14,1012,1012
"18","Columbia","IDFdm2","warm",7,7,37,31,0,0,261,238,1012,1157
"19","Columbia","IDFxk","cool",16,13,103,30,0,0,1753,510,810,736
"20","Columbia","IDFxk","warm",16,15,103,72,0,0,1753,1166,810,810
"21","Columbia","IMAun","cool",1,1,11,11,11,11,11,11,198,193
"22","Columbia","MSdk","cool",19,19,122,87,0,0,892,715,1620,2025
"23","Columbia","MSdk","warm",19,12,122,49,0,0,892,263,1620,1157
"24","Columbia","MSdw","cool",4,4,120,117,1,1,566,549,253,245
"25","Columbia","MSdw","warm",4,4,120,5,1,0,566,17,253,623
"26","Columbia","ESSFmm3","cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Columbia","ESSFmm3","warm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Columbia","ICHmw1","cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Columbia","ICHmw1","warm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Columbia","IMAun","warm",1,NA,11,NA,11,NA,11,NA,198,NA
"31","Elk","ESSFdk1","cool",45,45,209,179,0,0,10508,10015,476,476
"32","Elk","ESSFdk1","warm",45,37,209,14,0,0,10508,487,476,405
"33","Elk","ESSFdk2","cool",23,23,186,86,0,0,3951,2097,450,476
"34","Elk","ESSFdk2","warm",23,21,186,46,0,0,3951,557,450,300
"35","Elk","ESSFdkp","cool",29,29,28,27,0,0,226,223,386,386
"36","Elk","ESSFdkp","warm",29,16,28,0,0,0,226,2,386,736
"37","Elk","ESSFdkw","cool",48,48,62,30,0,0,1162,544,579,579
"38","Elk","ESSFdkw","warm",48,44,62,24,0,0,1162,627,579,579
"39","Elk","ESSFwm1","cool",21,21,213,105,0,0,1440,1094,368,386
"40","Elk","ESSFwm1","warm",21,21,213,44,0,0,1440,337,368,338
"41","Elk","ESSFwmp","cool",6,6,22,21,2,0,65,64,219,198
"42","Elk","ESSFwmp","warm",6,5,22,2,2,0,65,5,219,540
"43","Elk","ESSFwmw","cool",16,16,89,43,0,0,1133,792,312,279
"44","Elk","ESSFwmw","warm",16,16,89,28,0,0,1133,311,312,386
"45","Elk","ICHdm","cool",2,2,41,29,4,0,79,70,1620,2025
"46","Elk","ICHdm","warm",2,2,41,6,4,5,79,9,1620,1012
"47","Elk","ICHmk4","cool",16,16,165,51,0,0,1108,739,810,1012
"48","Elk","ICHmk4","warm",16,15,165,98,0,0,1108,522,810,623
"49","Elk","IMAun","cool",7,7,12,8,2,0,42,42,57,62
"50","Elk","IMAun","warm",7,4,12,1,2,0,42,3,57,NA
"51","Elk","MSdk","cool",22,22,74,53,0,0,1110,1034,810,810
"52","Elk","MSdk","warm",22,15,74,7,0,0,1110,76,810,736
"53","Elk","MSdw","cool",50,50,92,71,0,0,1644,1496,810,810
"54","Elk","MSdw","warm",50,42,92,11,0,0,1644,142,810,1012
"55","Elk","IDFdm2","cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
