"","Zone","Region_Name","Aspect","number_fires","mean_fs_BEC","min_fs_BEC","max_fs_BEC","FRI"
"1","Columbia","ESSFdk1","cool",2,3,2,5,540
"2","Columbia","ESSFdk1","warm",2,123,5,242,150
"3","Columbia","ESSFdk2","cool",12,10,0,62,2700
"4","Columbia","ESSFdk2","warm",13,31,0,207,4050
"5","Columbia","ESSFdkp","cool",6,9,0,23,2700
"6","Columbia","ESSFdkp","warm",2,0,0,0,Inf
"7","Columbia","ESSFdkw","cool",7,13,1,41,4050
"8","Columbia","ESSFdkw","warm",7,11,0,75,2700
"9","Columbia","ESSFmmp","cool",3,0,0,0,Inf
"10","Columbia","ESSFmmp","warm",1,0,0,0,Inf
"11","Columbia","ESSFmmw","cool",1,0,0,0,Inf
"12","Columbia","ESSFmmw","warm",1,0,0,0,Inf
"13","Columbia","ICHmk5","cool",7,21,0,78,8100
"14","Columbia","ICHmk5","warm",5,32,0,132,2700
"15","Columbia","IDFdk5","cool",22,18,0,388,2700
"16","Columbia","IDFdk5","warm",17,56,0,550,1620
"17","Columbia","IDFdm2","cool",6,4,0,14,1012
"18","Columbia","IDFdm2","warm",7,31,0,238,1157
"19","Columbia","IDFxk","cool",13,30,0,510,736
"20","Columbia","IDFxk","warm",15,72,0,1166,810
"21","Columbia","IMAun","cool",1,11,11,11,193
"22","Columbia","MSdk","cool",19,87,0,715,2025
"23","Columbia","MSdk","warm",12,49,0,263,1157
"24","Columbia","MSdw","cool",4,117,1,549,245
"25","Columbia","MSdw","warm",4,5,0,17,623
"26","Columbia","ESSFmm3","cool",NA,NA,NA,NA,NA
"27","Columbia","ESSFmm3","warm",NA,NA,NA,NA,NA
"28","Columbia","ICHmw1","cool",NA,NA,NA,NA,NA
"29","Columbia","ICHmw1","warm",NA,NA,NA,NA,NA
"30","Columbia","IMAun","warm",NA,NA,NA,NA,NA
"31","Elk","ESSFdk1","cool",45,179,0,10015,476
"32","Elk","ESSFdk1","warm",37,14,0,487,405
"33","Elk","ESSFdk2","cool",23,86,0,2097,476
"34","Elk","ESSFdk2","warm",21,46,0,557,300
"35","Elk","ESSFdkp","cool",29,27,0,223,386
"36","Elk","ESSFdkp","warm",16,0,0,2,736
"37","Elk","ESSFdkw","cool",48,30,0,544,579
"38","Elk","ESSFdkw","warm",44,24,0,627,579
"39","Elk","ESSFwm1","cool",21,105,0,1094,386
"40","Elk","ESSFwm1","warm",21,44,0,337,338
"41","Elk","ESSFwmp","cool",6,21,0,64,198
"42","Elk","ESSFwmp","warm",5,2,0,5,540
"43","Elk","ESSFwmw","cool",16,43,0,792,279
"44","Elk","ESSFwmw","warm",16,28,0,311,386
"45","Elk","ICHdm","cool",2,29,0,70,2025
"46","Elk","ICHdm","warm",2,6,5,9,1012
"47","Elk","ICHmk4","cool",16,51,0,739,1012
"48","Elk","ICHmk4","warm",15,98,0,522,623
"49","Elk","IMAun","cool",7,8,0,42,62
"50","Elk","IMAun","warm",4,1,0,3,NA
"51","Elk","MSdk","cool",22,53,0,1034,810
"52","Elk","MSdk","warm",15,7,0,76,736
"53","Elk","MSdw","cool",50,71,0,1496,810
"54","Elk","MSdw","warm",42,11,0,142,1012
"55","Elk","IDFdm2","cool",NA,NA,NA,NA,NA
"56","Elk","IDFdm2","warm",NA,NA,NA,NA,NA
"57","Kootenay North","ESSFdk1","cool",3,14,0,152,368
"58","Kootenay North","ESSFdk1","warm",3,134,5,446,300
"59","Kootenay North","ESSFdk2","cool",50,93,0,3403,208
"60","Kootenay North","ESSFdk2","warm",55,287,0,5906,188
"61","Kootenay North","ESSFdkp","cool",27,36,0,279,289
"62","Kootenay North","ESSFdkp","warm",9,2,0,11,202
"63","Kootenay North","ESSFdkw","cool",38,109,0,1477,261
"64","Kootenay North","ESSFdkw","warm",34,14,0,139,279
"65","Kootenay North","ESSFwm1","cool",2,51,0,185,123
"66","Kootenay North","ESSFwm1","warm",2,16,11,28,123
"67","Kootenay North","ESSFwmp","cool",2,18,0,60,279
"68","Kootenay North","ESSFwmp","warm",2,0,0,0,8100
"69","Kootenay North","ESSFwmw","cool",2,28,0,89,129
"70","Kootenay North","ESSFwmw","warm",2,26,0,78,147
"71","Kootenay North","ICHmk5","cool",6,74,0,432,540
"72","Kootenay North","ICHmk5","warm",6,23,0,63,675
"73","Kootenay North","IDFdm2","cool",2,3,3,3,Inf
"74","Kootenay North","IDFdm2","warm",1,3,3,3,Inf
"75","Kootenay North","IMAun","cool",11,15,0,146,193
"76","Kootenay North","IMAun","warm",6,4,0,31,63
"77","Kootenay North","MSdk","cool",38,258,0,7523,300
"78","Kootenay North","MSdk","warm",28,10,0,118,1157
"79","Kootenay North","MSdw","cool",4,52,0,268,736
"80","Kootenay North","MSdw","warm",4,1,0,5,4050
"81","Kootenay South","ESSFdk1","cool",53,123,0,3293,368
"82","Kootenay South","ESSFdk1","warm",37,68,0,1620,300
"83","Kootenay South","ESSFdk2","cool",6,40,0,335,476
"84","Kootenay South","ESSFdk2","warm",5,25,0,120,450
"85","Kootenay South","ESSFdkp","cool",6,7,0,33,4050
"86","Kootenay South","ESSFdkw","cool",21,30,0,339,1012
